fid,iid,rep,alg_B50,alg_B100,alg_B150,alg_B200,alg_B250,alg_B300,alg_B350,alg_B400,alg_B450,alg_B500,alg_B550,alg_B600,alg_B650,alg_B700,alg_B750,alg_B800,alg_B850,alg_B900,alg_B950,alg_B1000
1,2.0,3.0,Non-elitist,Elitist,DE,Non-elitist,Non-elitist,MLSL,Elitist,DE,DE,MLSL,Elitist,Elitist,Non-elitist,MLSL,Elitist,DE,Non-elitist,PSO,PSO,Non-elitist
1,2.0,4.0,Non-elitist,Elitist,BFGS,Elitist,Non-elitist,BFGS,Elitist,Elitist,MLSL,Non-elitist,MLSL,Elitist,Elitist,MLSL,Elitist,BFGS,Elitist,DE,DE,Non-elitist
1,2.0,5.0,Non-elitist,Elitist,Non-elitist,Elitist,Non-elitist,MLSL,MLSL,MLSL,Elitist,MLSL,Elitist,MLSL,DE,Elitist,DE,DE,Elitist,MLSL,PSO,Non-elitist
1,2.0,6.0,Non-elitist,Elitist,Elitist,Elitist,DE,Elitist,BFGS,Elitist,Elitist,Non-elitist,DE,Elitist,Elitist,Elitist,BFGS,BFGS,DE,BFGS,DE,Non-elitist
1,2.0,7.0,Non-elitist,Elitist,MLSL,MLSL,Non-elitist,MLSL,MLSL,MLSL,MLSL,MLSL,Non-elitist,MLSL,DE,Elitist,Elitist,Elitist,DE,PSO,MLSL,Non-elitist
1,2.0,8.0,Non-elitist,MLSL,Non-elitist,Non-elitist,Elitist,DE,Non-elitist,DE,MLSL,MLSL,Elitist,Elitist,DE,MLSL,DE,Elitist,DE,PSO,MLSL,Non-elitist
1,2.0,9.0,Non-elitist,Elitist,DE,DE,Non-elitist,BFGS,BFGS,MLSL,MLSL,BFGS,BFGS,MLSL,DE,Elitist,BFGS,Elitist,DE,PSO,MLSL,Non-elitist
1,2.0,10.0,Non-elitist,Elitist,Elitist,Elitist,Non-elitist,Non-elitist,DE,MLSL,DE,MLSL,Elitist,Elitist,Non-elitist,MLSL,DE,DE,Non-elitist,BFGS,Elitist,Non-elitist
1,2.0,11.0,Non-elitist,Elitist,Elitist,Elitist,Non-elitist,Elitist,DE,Elitist,MLSL,Elitist,DE,Elitist,DE,MLSL,Non-elitist,BFGS,Non-elitist,BFGS,Elitist,Non-elitist
1,2.0,12.0,Elitist,Elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,Elitist,Elitist,Elitist,MLSL,Elitist,Elitist,DE,Elitist,DE,Elitist,BFGS,PSO,Non-elitist,Non-elitist
1,2.0,13.0,Non-elitist,Elitist,Elitist,MLSL,Non-elitist,MLSL,DE,Non-elitist,MLSL,DE,MLSL,Elitist,DE,MLSL,BFGS,Elitist,DE,Non-elitist,MLSL,Non-elitist
1,2.0,14.0,Non-elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,MLSL,MLSL,MLSL,DE,DE,DE,PSO,Elitist,Non-elitist
1,2.0,15.0,Non-elitist,DE,Non-elitist,DE,Non-elitist,MLSL,MLSL,DE,MLSL,Elitist,DE,MLSL,DE,MLSL,DE,BFGS,Non-elitist,MLSL,PSO,Non-elitist
1,2.0,16.0,Non-elitist,MLSL,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,BFGS,MLSL,Elitist,MLSL,DE,Elitist,Non-elitist,PSO,PSO,Non-elitist
1,2.0,17.0,Elitist,Elitist,Elitist,Elitist,Non-elitist,Non-elitist,Elitist,Elitist,Elitist,MLSL,Elitist,Elitist,DE,MLSL,DE,Elitist,DE,MLSL,Elitist,Non-elitist
1,2.0,18.0,Non-elitist,Elitist,Elitist,DE,Non-elitist,Elitist,DE,Elitist,MLSL,Elitist,Elitist,Elitist,DE,MLSL,Elitist,BFGS,Non-elitist,MLSL,Elitist,Non-elitist
1,2.0,19.0,Elitist,Elitist,DE,DE,Non-elitist,DE,MLSL,Non-elitist,MLSL,BFGS,DE,Non-elitist,DE,MLSL,Elitist,Elitist,DE,PSO,MLSL,Non-elitist
1,3.0,0.0,Non-elitist,DE,DE,Elitist,Elitist,Non-elitist,Non-elitist,MLSL,MLSL,MLSL,MLSL,Elitist,Non-elitist,MLSL,Elitist,Elitist,DE,MLSL,BFGS,Non-elitist
1,3.0,1.0,Elitist,Elitist,Elitist,Elitist,Non-elitist,MLSL,DE,DE,MLSL,Non-elitist,Elitist,MLSL,Non-elitist,MLSL,Elitist,DE,Non-elitist,DE,DE,Non-elitist
1,3.0,2.0,Non-elitist,MLSL,Elitist,Elitist,Elitist,Non-elitist,DE,Elitist,Non-elitist,MLSL,Elitist,Elitist,MLSL,MLSL,BFGS,DE,DE,Non-elitist,Elitist,Non-elitist
1,3.0,3.0,Non-elitist,Elitist,MLSL,Non-elitist,MLSL,MLSL,DE,MLSL,MLSL,MLSL,MLSL,MLSL,DE,Elitist,DE,PSO,DE,PSO,MLSL,Non-elitist
1,3.0,4.0,Non-elitist,MLSL,DE,Elitist,Non-elitist,BFGS,BFGS,Elitist,Elitist,MLSL,MLSL,Elitist,DE,MLSL,DE,Elitist,Non-elitist,Elitist,BFGS,Non-elitist
1,3.0,5.0,Elitist,DE,Non-elitist,Elitist,Non-elitist,MLSL,Non-elitist,MLSL,MLSL,MLSL,MLSL,MLSL,Non-elitist,DE,DE,DE,Non-elitist,Elitist,Non-elitist,Non-elitist
1,3.0,6.0,Non-elitist,MLSL,Elitist,Elitist,BFGS,MLSL,Elitist,MLSL,MLSL,Non-elitist,Elitist,Elitist,DE,MLSL,Non-elitist,Non-elitist,Non-elitist,DE,BFGS,Non-elitist
1,3.0,7.0,Non-elitist,Elitist,Elitist,Elitist,MLSL,Elitist,Non-elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Non-elitist,DE,Elitist,DE,MLSL,Non-elitist
1,3.0,8.0,Non-elitist,Elitist,Elitist,Elitist,BFGS,MLSL,BFGS,MLSL,BFGS,MLSL,Elitist,MLSL,Non-elitist,MLSL,Non-elitist,Elitist,DE,MLSL,BFGS,Non-elitist
1,3.0,9.0,Non-elitist,MLSL,Elitist,Elitist,BFGS,Non-elitist,DE,MLSL,BFGS,Elitist,Non-elitist,Elitist,DE,MLSL,Non-elitist,BFGS,Non-elitist,PSO,Non-elitist,Non-elitist
1,3.0,10.0,BFGS,MLSL,Elitist,Non-elitist,BFGS,DE,MLSL,MLSL,MLSL,MLSL,Elitist,MLSL,DE,MLSL,Non-elitist,Non-elitist,Non-elitist,Non-elitist,BFGS,Non-elitist
1,3.0,11.0,Elitist,Elitist,Elitist,Elitist,Non-elitist,MLSL,Elitist,DE,Non-elitist,MLSL,Elitist,MLSL,MLSL,DE,Elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,Non-elitist
1,3.0,12.0,Elitist,DE,DE,Non-elitist,Elitist,MLSL,MLSL,Elitist,MLSL,MLSL,MLSL,MLSL,MLSL,DE,DE,DE,DE,DE,DE,Non-elitist
1,3.0,13.0,Elitist,Elitist,Non-elitist,Non-elitist,Elitist,MLSL,Non-elitist,Elitist,MLSL,DE,Elitist,Elitist,MLSL,MLSL,Non-elitist,BFGS,MLSL,DE,BFGS,Non-elitist
1,3.0,14.0,Non-elitist,Elitist,Elitist,Non-elitist,Elitist,Elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,Non-elitist,Elitist,MLSL,MLSL,Elitist,DE,Non-elitist,DE,MLSL,Non-elitist
1,3.0,15.0,Non-elitist,Non-elitist,BFGS,DE,BFGS,BFGS,BFGS,Elitist,Elitist,DE,Non-elitist,Elitist,Elitist,MLSL,Non-elitist,BFGS,PSO,Elitist,Elitist,Non-elitist
1,3.0,16.0,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Non-elitist,MLSL,MLSL,Elitist,MLSL,DE,MLSL,Non-elitist,BFGS,MLSL,Non-elitist,BFGS,Non-elitist
1,3.0,17.0,Non-elitist,Elitist,Elitist,Elitist,Non-elitist,Elitist,Non-elitist,DE,MLSL,MLSL,DE,Elitist,DE,MLSL,Non-elitist,BFGS,PSO,DE,Non-elitist,Non-elitist
1,3.0,18.0,Elitist,Elitist,Non-elitist,Elitist,Elitist,Non-elitist,Non-elitist,Elitist,MLSL,MLSL,Non-elitist,Non-elitist,DE,Elitist,Non-elitist,DE,MLSL,PSO,Elitist,Non-elitist
1,3.0,19.0,Elitist,DE,Elitist,Elitist,BFGS,Non-elitist,BFGS,MLSL,MLSL,MLSL,Elitist,Elitist,DE,MLSL,Non-elitist,BFGS,Non-elitist,DE,BFGS,Non-elitist
1,4.0,0.0,Non-elitist,Elitist,MLSL,DE,DE,MLSL,DE,Elitist,MLSL,Elitist,MLSL,MLSL,Elitist,MLSL,DE,BFGS,BFGS,Non-elitist,PSO,Non-elitist
1,4.0,1.0,Non-elitist,Elitist,MLSL,Elitist,Non-elitist,MLSL,DE,MLSL,MLSL,MLSL,MLSL,Non-elitist,Elitist,MLSL,DE,Elitist,Non-elitist,Non-elitist,Elitist,Non-elitist
1,4.0,2.0,Non-elitist,MLSL,Non-elitist,Elitist,BFGS,MLSL,DE,MLSL,DE,DE,DE,MLSL,DE,MLSL,DE,DE,Non-elitist,BFGS,Elitist,Non-elitist
1,4.0,3.0,Non-elitist,MLSL,Elitist,Non-elitist,Elitist,Non-elitist,Elitist,Elitist,DE,Elitist,Elitist,MLSL,DE,MLSL,Non-elitist,Elitist,Non-elitist,PSO,DE,Non-elitist
1,4.0,4.0,Non-elitist,Elitist,MLSL,Non-elitist,Elitist,Elitist,Elitist,MLSL,Elitist,Elitist,Elitist,Elitist,MLSL,MLSL,Non-elitist,Non-elitist,BFGS,MLSL,Elitist,Non-elitist
1,4.0,5.0,Non-elitist,MLSL,DE,Non-elitist,MLSL,Non-elitist,Elitist,Elitist,Non-elitist,Elitist,DE,DE,MLSL,MLSL,DE,DE,MLSL,BFGS,Elitist,Non-elitist
1,4.0,6.0,Non-elitist,MLSL,Elitist,Non-elitist,Non-elitist,MLSL,Non-elitist,Non-elitist,DE,Elitist,DE,Non-elitist,DE,MLSL,DE,Non-elitist,BFGS,BFGS,Elitist,Non-elitist
1,4.0,7.0,DE,Non-elitist,MLSL,Elitist,Non-elitist,BFGS,BFGS,Elitist,DE,Elitist,Non-elitist,MLSL,Non-elitist,MLSL,DE,DE,BFGS,BFGS,BFGS,Non-elitist
1,4.0,8.0,Non-elitist,MLSL,DE,MLSL,Non-elitist,Elitist,BFGS,MLSL,DE,DE,Non-elitist,Non-elitist,DE,MLSL,DE,DE,BFGS,BFGS,Elitist,Non-elitist
1,4.0,9.0,Non-elitist,MLSL,Non-elitist,Non-elitist,BFGS,BFGS,BFGS,DE,DE,DE,MLSL,Non-elitist,Non-elitist,MLSL,DE,MLSL,Non-elitist,Elitist,PSO,Non-elitist
1,4.0,10.0,Elitist,Elitist,DE,Elitist,BFGS,Elitist,BFGS,MLSL,DE,DE,Elitist,MLSL,DE,MLSL,DE,DE,DE,PSO,DE,Non-elitist
1,4.0,11.0,Non-elitist,MLSL,Elitist,Non-elitist,Elitist,Non-elitist,Elitist,Elitist,DE,Elitist,Non-elitist,MLSL,MLSL,MLSL,Elitist,Elitist,MLSL,Elitist,PSO,Non-elitist
1,4.0,12.0,Non-elitist,MLSL,Elitist,Elitist,Non-elitist,Elitist,MLSL,Elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,Elitist,Non-elitist,DE,Elitist,Non-elitist
1,4.0,13.0,Non-elitist,Elitist,MLSL,MLSL,MLSL,MLSL,Elitist,Elitist,DE,MLSL,Non-elitist,Non-elitist,Non-elitist,MLSL,DE,Non-elitist,BFGS,PSO,Elitist,Non-elitist
1,4.0,14.0,Non-elitist,Elitist,Elitist,Non-elitist,Elitist,Elitist,BFGS,Elitist,DE,Elitist,Elitist,MLSL,Non-elitist,MLSL,Elitist,Elitist,Non-elitist,PSO,Elitist,Non-elitist
1,4.0,15.0,Elitist,Elitist,Elitist,MLSL,Non-elitist,DE,Elitist,Non-elitist,Non-elitist,DE,Elitist,Non-elitist,DE,MLSL,Elitist,Elitist,DE,Elitist,MLSL,Non-elitist
1,4.0,16.0,Non-elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Non-elitist,Elitist,DE,Elitist,Elitist,Elitist,Non-elitist,MLSL,Elitist,Elitist,BFGS,PSO,Elitist,Non-elitist
1,4.0,17.0,Non-elitist,Elitist,Elitist,Non-elitist,MLSL,Elitist,BFGS,DE,Non-elitist,DE,DE,Elitist,Non-elitist,MLSL,DE,Non-elitist,PSO,PSO,Elitist,Non-elitist
1,4.0,18.0,Non-elitist,Elitist,MLSL,Elitist,Elitist,MLSL,MLSL,DE,Elitist,Elitist,DE,Non-elitist,Non-elitist,MLSL,DE,Non-elitist,Non-elitist,PSO,Non-elitist,Non-elitist
1,4.0,19.0,Non-elitist,Elitist,MLSL,Non-elitist,Non-elitist,Elitist,Elitist,Elitist,DE,Elitist,DE,Non-elitist,Non-elitist,MLSL,Non-elitist,DE,Non-elitist,BFGS,MLSL,Non-elitist
1,5.0,0.0,Non-elitist,Elitist,Elitist,Non-elitist,MLSL,MLSL,Non-elitist,Elitist,MLSL,Non-elitist,MLSL,Non-elitist,DE,MLSL,Elitist,Non-elitist,Elitist,DE,BFGS,Non-elitist
1,5.0,1.0,DE,MLSL,Elitist,DE,DE,DE,Non-elitist,MLSL,DE,MLSL,Elitist,MLSL,DE,MLSL,DE,Non-elitist,Elitist,BFGS,MLSL,Non-elitist
1,5.0,2.0,Non-elitist,Non-elitist,BFGS,Non-elitist,MLSL,DE,Non-elitist,DE,Non-elitist,MLSL,Elitist,Non-elitist,DE,DE,DE,Non-elitist,Non-elitist,PSO,MLSL,Non-elitist
1,5.0,3.0,Non-elitist,Non-elitist,Elitist,Elitist,Non-elitist,Non-elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Non-elitist,MLSL,MLSL,DE,Non-elitist,MLSL,DE,Elitist,Non-elitist
1,5.0,4.0,Non-elitist,Non-elitist,MLSL,MLSL,DE,Elitist,DE,Elitist,DE,MLSL,DE,MLSL,DE,MLSL,Elitist,Non-elitist,BFGS,Elitist,PSO,Non-elitist
1,5.0,5.0,Non-elitist,MLSL,Elitist,DE,DE,Elitist,DE,Elitist,Non-elitist,Elitist,Elitist,MLSL,MLSL,DE,DE,DE,Non-elitist,BFGS,BFGS,Non-elitist
1,5.0,6.0,Non-elitist,Non-elitist,DE,MLSL,BFGS,Elitist,Elitist,DE,DE,Non-elitist,MLSL,BFGS,MLSL,MLSL,Elitist,Elitist,Non-elitist,DE,Elitist,Non-elitist
1,5.0,7.0,BFGS,Non-elitist,DE,DE,BFGS,MLSL,Non-elitist,MLSL,MLSL,DE,DE,MLSL,DE,MLSL,Elitist,Elitist,Elitist,BFGS,Elitist,Non-elitist
1,5.0,8.0,Non-elitist,Elitist,Elitist,Elitist,Non-elitist,MLSL,Non-elitist,DE,DE,MLSL,Elitist,MLSL,DE,DE,DE,Non-elitist,Elitist,BFGS,MLSL,Non-elitist
1,5.0,9.0,Elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,MLSL,Elitist,Elitist,MLSL,MLSL,DE,MLSL,MLSL,DE,Non-elitist,Non-elitist,Elitist,BFGS,BFGS,Non-elitist
1,5.0,10.0,Non-elitist,Non-elitist,Elitist,DE,Non-elitist,DE,Elitist,Non-elitist,MLSL,MLSL,MLSL,Elitist,MLSL,DE,DE,Non-elitist,Non-elitist,MLSL,DE,Non-elitist
1,5.0,11.0,Non-elitist,Non-elitist,MLSL,Elitist,Non-elitist,Elitist,DE,DE,MLSL,MLSL,MLSL,Non-elitist,MLSL,DE,Non-elitist,DE,Non-elitist,DE,BFGS,Non-elitist
1,5.0,12.0,MLSL,MLSL,Non-elitist,Elitist,MLSL,Elitist,Elitist,Elitist,Non-elitist,Non-elitist,DE,Elitist,MLSL,DE,DE,Non-elitist,PSO,DE,PSO,Non-elitist
1,5.0,13.0,BFGS,Elitist,Non-elitist,Elitist,Elitist,MLSL,Elitist,Elitist,MLSL,MLSL,DE,MLSL,Non-elitist,MLSL,Elitist,DE,PSO,BFGS,Elitist,Non-elitist
1,5.0,14.0,Non-elitist,Elitist,Elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,Elitist,Elitist,Elitist,Elitist,MLSL,Elitist,MLSL,Elitist,DE,DE,PSO,PSO,Non-elitist
1,5.0,15.0,Non-elitist,MLSL,Non-elitist,DE,Non-elitist,Elitist,Non-elitist,Elitist,DE,Elitist,Elitist,MLSL,DE,DE,DE,DE,Elitist,PSO,MLSL,Non-elitist
1,5.0,16.0,Non-elitist,MLSL,DE,Non-elitist,Non-elitist,MLSL,DE,Non-elitist,Elitist,MLSL,DE,Non-elitist,Elitist,MLSL,BFGS,Non-elitist,Non-elitist,PSO,BFGS,Non-elitist
1,5.0,17.0,BFGS,MLSL,MLSL,DE,MLSL,Elitist,Non-elitist,MLSL,DE,MLSL,DE,DE,MLSL,DE,BFGS,Non-elitist,BFGS,BFGS,BFGS,Non-elitist
1,5.0,18.0,Non-elitist,DE,MLSL,DE,Elitist,MLSL,DE,MLSL,DE,MLSL,DE,MLSL,MLSL,DE,DE,DE,Non-elitist,BFGS,MLSL,Non-elitist
1,5.0,19.0,Non-elitist,DE,Elitist,MLSL,Non-elitist,Non-elitist,MLSL,Elitist,Elitist,Elitist,Non-elitist,MLSL,Elitist,MLSL,Elitist,Non-elitist,DE,BFGS,PSO,Non-elitist
2,1.0,0.0,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,Non-elitist,Non-elitist
2,1.0,1.0,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,Non-elitist
2,1.0,2.0,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,Non-elitist
2,1.0,3.0,BFGS,MLSL,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,Non-elitist
2,1.0,4.0,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,Non-elitist,Non-elitist
2,1.0,5.0,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,Non-elitist,Non-elitist
2,1.0,6.0,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,Elitist,Non-elitist
2,1.0,7.0,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,Non-elitist
2,1.0,8.0,BFGS,MLSL,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,Non-elitist
2,1.0,9.0,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,Non-elitist
2,1.0,10.0,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,Non-elitist
2,1.0,11.0,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,Non-elitist
2,1.0,12.0,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,Elitist,Non-elitist
2,1.0,13.0,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,Non-elitist
2,1.0,14.0,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,Non-elitist
2,1.0,15.0,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,Non-elitist
2,1.0,16.0,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,Non-elitist
2,1.0,17.0,BFGS,MLSL,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,Non-elitist,Non-elitist
2,1.0,18.0,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,Non-elitist
2,1.0,19.0,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,PSO,Non-elitist
2,2.0,0.0,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,Non-elitist
2,2.0,1.0,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,Non-elitist
2,2.0,2.0,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,Elitist,Non-elitist
