fid,iid,rep,budget,pred_t1,pred_t2,pred_t3
1,1.0,15.0,650,-11.0201256892522,-11.519114232851992,-11.995752558224817
1,1.0,15.0,700,-12.0,-12.0,-12.0
1,1.0,15.0,750,-11.904633682928523,-12.0,-12.0
1,1.0,15.0,800,-12.0,-12.0,-12.0
1,1.0,15.0,850,-11.934578647775005,-12.0,-12.0
1,1.0,15.0,900,-11.507285425549366,-12.0,
1,1.0,15.0,950,-12.0,,
1,1.0,16.0,50,-11.528908244892072,-11.82794325498064,-11.623450667576721
1,1.0,16.0,100,-11.371292149076243,-11.509323175402223,-11.579176362462437
1,1.0,16.0,150,-11.040768079853724,-11.793457351315315,-11.282412089763197
1,1.0,16.0,200,-11.369062617498752,-11.735592309474733,-10.669320389810384
1,1.0,16.0,250,-11.824960502171418,-11.84661543937807,-12.0
1,1.0,16.0,300,-11.739643475262664,-11.771834832301288,-11.995550606084358
1,1.0,16.0,350,-12.0,-12.0,-11.853645629086204
1,1.0,16.0,400,-12.0,-11.907933893828828,-11.949439430925523
1,1.0,16.0,450,-11.928567066895921,-11.936490353053905,-11.912800199397372
1,1.0,16.0,500,-11.791011159098467,-11.690847417664662,-11.292599710291864
1,1.0,16.0,550,-12.0,-11.476118299776651,-11.901049246415022
1,1.0,16.0,600,-11.686940616201575,-11.835891234257081,-11.781055618120368
1,1.0,16.0,650,-11.676702148138748,-11.743735308501769,-12.0
1,1.0,16.0,700,-11.683289823035059,-11.992724289551768,-12.0
1,1.0,16.0,750,-11.767168064616932,-11.748635775750047,-12.0
1,1.0,16.0,800,-11.728692487506104,-12.0,-12.0
1,1.0,16.0,850,-11.946335274469979,-12.0,-12.0
1,1.0,16.0,900,-12.0,-11.69470399985986,
1,1.0,16.0,950,-11.532853504792756,,
1,1.0,17.0,50,-11.68835537096145,-11.872984247488873,-11.761687069190536
1,1.0,17.0,100,-11.973857401352468,-11.878289244755216,-11.956163011986435
1,1.0,17.0,150,-11.519496924866216,-11.828192864215273,-11.584628300196318
1,1.0,17.0,200,-11.47090147074407,-11.77807525777531,-11.107975591171172
1,1.0,17.0,250,-11.480635651383896,-11.847691141593225,-11.710339061012034
1,1.0,17.0,300,-11.718417530934653,-11.959869223911857,-11.824273813184352
1,1.0,17.0,350,-12.0,-12.0,-11.98862904887765
1,1.0,17.0,400,-9.291531337481466,-12.0,-11.041058729382732
1,1.0,17.0,450,-11.624281357334594,-10.498876659509504,-9.619619773711891
1,1.0,17.0,500,-10.490340757256373,-9.402879328328051,-11.597686668065673
1,1.0,17.0,550,-10.692227040284383,-10.916830108920138,-11.471919159517947
1,1.0,17.0,600,-11.789663063543074,-12.0,-11.584603652894938
1,1.0,17.0,650,-11.853396057994118,-12.0,-12.0
1,1.0,17.0,700,-11.695242026004896,-12.0,-11.555245990915365
1,1.0,17.0,750,-11.861480820192297,-12.0,-11.905233079902704
1,1.0,17.0,800,-12.0,-12.0,-12.0
1,1.0,17.0,850,-11.669498306653809,-11.846323913355736,-11.847622061084802
1,1.0,17.0,900,-12.0,-11.440001044596288,
1,1.0,17.0,950,-11.681231624838667,,
1,1.0,18.0,50,-11.732701855423132,-12.0,-12.0
1,1.0,18.0,100,-11.76717702135846,-11.778053405456806,-11.999964569325412
1,1.0,18.0,150,-11.21660884828382,-11.46321840868438,-11.38947785764945
1,1.0,18.0,200,-11.432683926373327,-11.490823822880026,-10.712324833878077
1,1.0,18.0,250,-11.901461048111983,-12.0,-11.889719071102453
1,1.0,18.0,300,-12.0,-12.0,-12.0
1,1.0,18.0,350,-12.0,-12.0,-12.0
1,1.0,18.0,400,-11.046193448651133,-12.0,-11.826971467014888
1,1.0,18.0,450,-11.884273825161921,-11.794488663792448,-11.935441309952893
1,1.0,18.0,500,-11.406322676992744,-11.31226603185537,-11.824913636377207
1,1.0,18.0,550,-11.744465905329756,-11.637272295051103,-12.0
1,1.0,18.0,600,-12.0,-12.0,-12.0
1,1.0,18.0,650,-12.0,-12.0,-12.0
1,1.0,18.0,700,-12.0,-12.0,-12.0
1,1.0,18.0,750,-11.861480820192297,-12.0,-11.905233079902704
1,1.0,18.0,800,-12.0,-12.0,-11.902803158874567
1,1.0,18.0,850,-11.866848950370517,-11.846323913355736,-12.0
1,1.0,18.0,900,-11.741544763371008,-11.858411702641273,
1,1.0,18.0,950,-12.0,,
1,1.0,19.0,50,-11.709191880752085,-11.676310919359171,-11.761687069190534
1,1.0,19.0,100,-11.570742959028227,-11.69043594629211,-11.868385159425596
1,1.0,19.0,150,-11.472723152880521,-11.886226107183349,-11.352607575551842
1,1.0,19.0,200,-11.381797079437465,-11.70722793840226,-11.090642002302186
1,1.0,19.0,250,-11.690242773470098,-11.844206586223093,-11.703759848704697
1,1.0,19.0,300,-12.0,-11.77563635942649,-11.995550606084358
1,1.0,19.0,350,-12.0,-11.684110266342344,-11.973516039342535
1,1.0,19.0,400,-9.394248590177769,-11.907933893828828,-11.248227674153473
1,1.0,19.0,450,-11.928781735100781,-11.59998173967671,-11.951880532444257
1,1.0,19.0,500,-12.0,-9.401278431003133,-11.482984071518327
1,1.0,19.0,550,-9.84306126189989,-10.784573967429465,-11.415728631012774
1,1.0,19.0,600,-11.783521088595814,-11.864561736632023,-11.541358965898612
1,1.0,19.0,650,-11.905638341108002,-12.0,-11.982361023889508
1,1.0,19.0,700,-11.305192696527794,-12.0,-12.0
1,1.0,19.0,750,-11.817330409940626,-11.748635775750047,-12.0
1,1.0,19.0,800,-11.728692487506104,-12.0,-12.0
1,1.0,19.0,850,-11.795707738578507,-12.0,-11.783819204040805
1,1.0,19.0,900,-12.0,-11.558438101430415,
1,1.0,19.0,950,-11.532853504792756,,
1,2.0,0.0,50,-12.0,-11.877836102815614,-12.0
1,2.0,0.0,100,-11.89712220677148,-11.897223930616207,-11.943778282679595
1,2.0,0.0,150,-11.943548497835184,-11.939985854018428,-11.978740787210008
1,2.0,0.0,200,-12.0,-11.90568068519006,-11.969008758230643
1,2.0,0.0,250,-11.987384813843645,-12.0,-12.0
1,2.0,0.0,300,-12.0,-12.0,-12.0
1,2.0,0.0,350,-12.0,-12.0,-11.959767034648356
1,2.0,0.0,400,-12.0,-12.0,-12.0
1,2.0,0.0,450,-12.0,-12.0,-12.0
1,2.0,0.0,500,-12.0,-12.0,-12.0
1,2.0,0.0,550,-12.0,-12.0,-12.0
1,2.0,0.0,600,-12.0,-12.0,-12.0
1,2.0,0.0,650,-11.871591707628662,-12.0,-12.0
1,2.0,0.0,700,-12.0,-12.0,-12.0
1,2.0,0.0,750,-12.0,-11.851323228652117,-12.0
1,2.0,0.0,800,-12.0,-11.666124752756568,-12.0
1,2.0,0.0,850,-11.91536098930354,-12.0,-12.0
1,2.0,0.0,900,-12.0,-12.0,
1,2.0,0.0,950,-12.0,,
1,2.0,1.0,50,-12.0,-11.743813226729513,-12.0
1,2.0,1.0,100,-11.877171217763971,-11.802475187281859,-11.976443951409692
1,2.0,1.0,150,-11.994027884954619,-11.855578946428816,-11.903560492552785
1,2.0,1.0,200,-11.96199352095156,-11.990541430754188,-12.0
1,2.0,1.0,250,-11.855782041836479,-11.891731054662015,-12.0
1,2.0,1.0,300,-12.0,-12.0,-12.0
1,2.0,1.0,350,-12.0,-12.0,-11.959767034648356
1,2.0,1.0,400,-12.0,-12.0,-12.0
1,2.0,1.0,450,-12.0,-12.0,-12.0
1,2.0,1.0,500,-12.0,-11.983944978957291,-12.0
1,2.0,1.0,550,-12.0,-12.0,-12.0
1,2.0,1.0,600,-12.0,-12.0,-12.0
1,2.0,1.0,650,-11.930863452354595,-12.0,-12.0
1,2.0,1.0,700,-12.0,-12.0,-11.750141220368242
