feature,importance
"d_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",0.0012696704852541915
"d_norm__linear_trend__attr_""intercept""",0.0012643143696008583
"pc_norm__cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20)",0.001246091967773057
pc_mean__median,0.0012431777318245144
pc_norm__quantile__q_0.7,0.0012373700949412155
"pc_mean__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)",0.0012265276494693098
"ps_mean__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)",0.001219331189011748
pc_norm__max_langevin_fixed_point__m_3__r_30,0.0012028893137144457
ps_norm__max_langevin_fixed_point__m_3__r_30,0.001193798660539501
"d_norm__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0",0.00118790270096729
"pc_norm__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",0.0011870246752908149
"pc_mean__cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20)",0.0011769570505996895
d_mean__quantile__q_0.8,0.00117056428996474
ps_mean__quantile__q_0.1,0.0011542491674629168
pc_mean__minimum,0.0011521724946464578
"ps_norm__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)",0.0011520378384505341
"ps_norm__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",0.001146873421196111
"d_norm__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0",0.001145952063368593
pc_mean__mean,0.0011456038978002448
pc_mean__sum_values,0.0011425190057117573
d_mean__quantile__q_0.6,0.001138877962491476
"ps_mean__fft_coefficient__attr_""real""__coeff_0",0.001128232058925171
sigma__c3__lag_1,0.0011216565018789303
"sigma__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",0.001117567968282294
d_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_3,0.0011097593268230791
"ps_mean__linear_trend__attr_""intercept""",0.001089112253146947
"ps_mean__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",0.0010794319238367671
"pc_mean__cwt_coefficients__coeff_3__w_2__widths_(2, 5, 10, 20)",0.0010784385534474276
ps_norm__abs_energy,0.0010674466939506082
"sigma__linear_trend__attr_""rvalue""",0.001063152395090039
ps_mean__median,0.0010618242440011453
"pc_norm__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)",0.0010500004042776222
pc_norm__mean,0.0010364393845785304
pc_mean__quantile__q_0.2,0.0010035464071011025
ps_mean__minimum,0.0010030834953099262
"d_norm__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)",0.0009693137973634836
"d_norm__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0",0.0009673208686953558
"d_norm__fft_coefficient__attr_""abs""__coeff_1",0.0009588421363746501
"pc_mean__fft_coefficient__attr_""real""__coeff_0",0.0009485872963829759
sigma__energy_ratio_by_chunks__num_segments_10__segment_focus_1,0.0009414496687887788
"sigma__agg_autocorrelation__f_agg_""var""__maxlag_40",0.0009378876149297353
ps_mean__mean,0.0009299326895046019
"ps_mean__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)",0.0009274731993267968
sigma__autocorrelation__lag_1,0.0009046546432994798
pc_mean__quantile__q_0.9,0.000889582482351079
d_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_1,0.0008888145366163814
sigma__sum_values,0.0008840293089553206
"sigma__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)",0.0008746672563929337
"d_norm__cwt_coefficients__coeff_1__w_2__widths_(2, 5, 10, 20)",0.0008740724245026405
"pc_mean__linear_trend__attr_""slope""",0.0008737391433867325
pc_mean__maximum,0.0008691372558702442
pc_norm__cid_ce__normalize_True,0.0008607603116774598
ps_norm__quantile__q_0.7,0.0008490971936489053
sigma__mean,0.0008482989283885535
sigma__quantile__q_0.3,0.0008469249517046154
"pc_mean__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)",0.0008466034519869695
"pc_norm__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6",0.000843597325858705
"pc_mean__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",0.0008332449175438263
pc_mean__quantile__q_0.8,0.0008328260067533124
sigma__permutation_entropy__dimension_3__tau_1,0.0008205313554727083
"pc_mean__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)",0.0008061995776755941
"ps_mean__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)",0.0007778646387730872
"d_mean__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)",0.0007769569438157553
"d_mean__cwt_coefficients__coeff_1__w_2__widths_(2, 5, 10, 20)",0.0007742781088911172
pc_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_0,0.0007611284269017629
"ps_mean__cwt_coefficients__coeff_3__w_2__widths_(2, 5, 10, 20)",0.0007598169356371967
d_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_0,0.0007537930679221659
"d_mean__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6",0.0007535039538924554
pc_norm__quantile__q_0.4,0.0007482669308132399
ps_norm__quantile__q_0.6,0.0007450201350673158
sigma__longest_strike_below_mean,0.0007265095548890966
"ps_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",0.000726423921218232
"ps_mean__fft_aggregated__aggtype_""centroid""",0.0007166798384766596
"sigma__fft_coefficient__attr_""real""__coeff_0",0.0007136958421903692
"ps_mean__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)",0.0007111607090487154
"d_mean__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",0.0007078586590991682
"pc_norm__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",0.0007016226132116624
pc_norm__mean_change,0.0006967558232068272
"mhl_mean__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",0.0006881310601045111
"ps_mean__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)",0.0006845947953294479
pc_norm__cid_ce__normalize_False,0.0006787078719540567
"ps_norm__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",0.0006769736192134885
"d_mean__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0",0.0006656038757092023
"ps_mean__fft_coefficient__attr_""abs""__coeff_0",0.0006622531267645343
"d_norm__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",0.0006615140338503632
"sigma__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2",0.0006587365770870712
d_mean__absolute_maximum,0.0006583628069773913
"d_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.0006580230142991579
"sigma__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",0.0006575314626065166
mhl_mean__absolute_maximum,0.0006549707496917305
pc_mean__time_reversal_asymmetry_statistic__lag_1,0.0006512014578359692
ps_mean__mean_change,0.0006491316659256173
"pc_mean__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",0.000646450329875638
"d_mean__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",0.0006439027910668163
"ps_norm__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",0.0006312161358733439
"ps_norm__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",0.0006290875520128594
ps_norm__root_mean_square,0.0006204758748069463
sigma__count_below_mean,0.0006196415910218255
d_norm__time_reversal_asymmetry_statistic__lag_1,0.0006194071773643346
"ps_norm__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.0006166891774947847
"mhl_norm__agg_autocorrelation__f_agg_""var""__maxlag_40",0.0006151658329275031
pc_norm__quantile__q_0.3,0.0006149902966188077
pc_norm__autocorrelation__lag_3,0.0006139632274964834
"d_norm__fft_aggregated__aggtype_""variance""",0.0006133368901550927
pc_mean__count_below__t_0,0.0006130552294798957
"ps_norm__linear_trend__attr_""rvalue""",0.0006022405666407465
"loglikelihood__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",0.000592523883506614
"sigma__linear_trend__attr_""stderr""",0.0005904468609661506
"pc_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",0.0005873062031356484
pc_mean__max_langevin_fixed_point__m_3__r_30,0.0005851767852517658
"pc_norm__linear_trend__attr_""pvalue""",0.0005804335429242935
ps_mean__quantile__q_0.3,0.0005761131752065026
"mhl_norm__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0",0.0005759717894988096
ps_mean__c3__lag_1,0.0005741126951725597
pc_norm__time_reversal_asymmetry_statistic__lag_1,0.0005662932486754886
pc_mean__mean_change,0.0005657539934179636
ps_mean__quantile__q_0.2,0.0005606151450639983
"pc_mean__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)",0.0005603998227890408
"sigma__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.0005560851347188542
"d_norm__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4",0.000554806695567783
"mhl_mean__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.000554626345832892
ps_norm__mean_abs_change,0.0005546209763103151
"sigma__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",0.0005543334461475484
"pc_norm__fft_aggregated__aggtype_""centroid""",0.0005431589335072297
pc_mean__partial_autocorrelation__lag_1,0.0005398882292862061
ps_norm__friedrich_coefficients__coeff_3__m_3__r_30,0.0005380635901760808
"ps_norm__fft_coefficient__attr_""abs""__coeff_2",0.0005347801860090104
"loglikelihood__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)",0.0005346214092744122
mhl_mean__minimum,0.0005340731717374185
ps_norm__variance,0.0005312750314674444
"d_mean__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0",0.0005241128185616352
sigma__mean_second_derivative_central,0.0005186047968520871
"sigma__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",0.000513187860762828
ps_mean__cid_ce__normalize_False,0.0005084615962770489
"d_mean__agg_autocorrelation__f_agg_""var""__maxlag_40",0.0005071872228904872
"ps_norm__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0",0.0005060101821077759
pc_norm__autocorrelation__lag_1,0.0005031805127580868
pc_norm__absolute_sum_of_changes,0.0004999981435162352
"pc_norm__agg_autocorrelation__f_agg_""median""__maxlag_40",0.0004985064464666718
pc_norm__partial_autocorrelation__lag_1,0.0004963152473595693
pc_mean__range_count__max_0__min_-1000000000000.0,0.0004961209289252052
d_mean__skewness,0.0004903578666777835
ps_norm__absolute_sum_of_changes,0.0004896896351494555
pc_mean__abs_energy,0.0004865447375209438
"pc_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.0004864472868250381
"d_mean__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2",0.0004848157288327849
mhl_norm__autocorrelation__lag_3,0.00048051330535527054
sigma__autocorrelation__lag_2,0.0004773779365274551
ps_mean__root_mean_square,0.00047588996783205046
"sigma__fft_coefficient__attr_""real""__coeff_1",0.0004715963392321678
"ps_norm__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)",0.00047137517181222136
"pc_mean__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)",0.0004710653517462794
d_norm__maximum,0.0004703276075662656
pc_mean__friedrich_coefficients__coeff_0__m_3__r_30,0.00046899549556456144
"pc_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",0.0004672823294152584
loglikelihood__quantile__q_0.7,0.0004607183436567037
"ps_mean__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0",0.0004606868606376004
ps_norm__quantile__q_0.2,0.00046037719907301224
"pc_mean__fft_coefficient__attr_""imag""__coeff_1",0.00045751176264668557
"d_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",0.0004567485738735944
"pc_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.0004551175266028523
"pc_norm__linear_trend__attr_""intercept""",0.0004540876822874548
"d_mean__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4",0.0004536522970736355
"ps_mean__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)",0.00045056044220914595
loglikelihood__mean_second_derivative_central,0.0004472342276730446
"mhl_norm__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",0.0004461198927056632
ps_mean__standard_deviation,0.0004457341019672122
sigma__friedrich_coefficients__coeff_0__m_3__r_30,0.0004420973485303337
d_mean__energy_ratio_by_chunks__num_segments_10__segment_focus_2,0.0004406465473178987
ps_norm__last_location_of_maximum,0.0004402375627067448
"mhl_norm__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4",0.00043671534115406036
"sigma__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)",0.00043469322387533536
pc_mean__energy_ratio_by_chunks__num_segments_10__segment_focus_2,0.0004322852267195403
ps_norm__minimum,0.0004318728629860575
"d_norm__fft_coefficient__attr_""angle""__coeff_1",0.00043106223622309367
loglikelihood__spkt_welch_density__coeff_2,0.0004293120818052616
"sigma__cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20)",0.00042869718761106624
"pc_norm__cwt_coefficients__coeff_1__w_2__widths_(2, 5, 10, 20)",0.0004266223237146463
"mhl_mean__fft_coefficient__attr_""abs""__coeff_2",0.0004169205116655962
