feature,importance
"d_mean__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",0.002231224378030122
loglikelihood__root_mean_square,0.0022293426849804435
pc_mean__mean,0.0022005394908438595
"mhl_mean__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",0.0021847479895837274
"sigma__fft_aggregated__aggtype_""variance""",0.0021565837309754287
mhl_mean__c3__lag_2,0.002142378171419231
"pc_mean__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)",0.002135182696561143
"d_norm__fft_coefficient__attr_""abs""__coeff_13",0.002134698614777919
"pc_norm__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)",0.0021282158034070164
d_mean__median,0.0021261715908998348
"d_mean__fft_coefficient__attr_""abs""__coeff_11",0.0020962200412775593
"pc_norm__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)",0.0020760895690121618
"sigma__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)",0.0020614141028953577
"d_norm__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0",0.0020529394826588484
"sigma__fft_aggregated__aggtype_""skew""",0.0020353282080111585
"d_mean__fft_coefficient__attr_""abs""__coeff_7",0.0020159415927727816
"pc_norm__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",0.00201317213607204
"sigma__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)",0.002007713679947258
"d_norm__fft_coefficient__attr_""real""__coeff_16",0.00200732845464688
"d_mean__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",0.0020022802243540062
