fid,iid,rep,selector_algorithm,precision
8,7,6,BFGS,0.0
8,7,7,BFGS,0.0
8,7,8,BFGS,0.0
8,7,9,BFGS,0.0
8,7,10,BFGS,0.0
8,7,11,BFGS,1e-10
8,7,12,BFGS,1e-10
8,7,13,BFGS,0.0
8,7,14,BFGS,1e-10
8,7,15,BFGS,0.0
8,7,16,BFGS,0.0
8,7,17,BFGS,1e-10
8,7,18,BFGS,0.0
8,7,19,BFGS,0.0
9,6,0,BFGS,3.9308394341
9,6,1,BFGS,0.0
9,6,2,BFGS,0.0
9,6,3,BFGS,0.0
9,6,4,BFGS,1e-10
9,6,5,BFGS,1e-10
9,6,6,BFGS,0.0
9,6,7,BFGS,1e-10
9,6,8,BFGS,0.0
9,6,9,BFGS,3.9308394341
9,6,10,BFGS,0.0
9,6,11,BFGS,1e-10
9,6,12,BFGS,3.9308394342
9,6,13,BFGS,1e-10
9,6,14,BFGS,3.9308394341
9,6,15,BFGS,0.0
9,6,16,BFGS,3.9308394341
9,6,17,DE,3e-10
9,6,18,BFGS,1e-10
9,6,19,BFGS,3.9308394341
9,7,0,BFGS,0.0
9,7,1,BFGS,3.9308394341
9,7,2,BFGS,0.0
9,7,3,BFGS,0.0
9,7,4,BFGS,0.0
9,7,5,BFGS,0.0
9,7,6,BFGS,0.0
9,7,7,BFGS,0.0
9,7,8,BFGS,0.0
9,7,9,BFGS,0.0
9,7,10,BFGS,0.0
9,7,11,BFGS,0.0
9,7,12,BFGS,0.0
9,7,13,BFGS,0.0
9,7,14,BFGS,0.0
9,7,15,BFGS,0.0
9,7,16,BFGS,0.0
9,7,17,BFGS,0.0
9,7,18,BFGS,0.0
9,7,19,BFGS,0.0
10,6,0,BFGS,1.5097e-06
10,6,1,BFGS,6e-07
10,6,2,BFGS,9.83e-08
10,6,3,BFGS,1.5258e-06
10,6,4,BFGS,5.64e-07
10,6,5,BFGS,2.369e-07
10,6,6,BFGS,2.306e-07
10,6,7,BFGS,6.7e-09
10,6,8,BFGS,4.3688e-06
10,6,9,BFGS,8.878e-07
10,6,10,BFGS,1.6702e-06
10,6,11,BFGS,6.647e-07
10,6,12,BFGS,8.805e-07
10,6,13,BFGS,2.53e-08
10,6,14,BFGS,3.829e-06
10,6,15,BFGS,1.43e-08
10,6,16,BFGS,9.55e-08
10,6,17,BFGS,2.666e-07
10,6,18,BFGS,7.588e-07
10,6,19,BFGS,5.085e-07
10,7,0,BFGS,2.0269e-06
10,7,1,BFGS,2.529e-07
10,7,2,BFGS,4.445e-07
10,7,3,BFGS,2.072e-07
10,7,4,BFGS,2.019e-07
10,7,5,BFGS,7.4082e-06
10,7,6,BFGS,1.70643e-05
10,7,7,BFGS,9.464e-07
10,7,8,BFGS,1.88e-07
10,7,9,BFGS,4.769e-07
10,7,10,BFGS,3.543e-07
10,7,11,BFGS,3.1513e-06
10,7,12,BFGS,1.197e-07
10,7,13,BFGS,7.8647e-06
10,7,14,BFGS,3.3996e-06
10,7,15,BFGS,3.3098e-06
10,7,16,BFGS,1.6715e-06
10,7,17,BFGS,4.6789e-06
10,7,18,BFGS,2.4947e-06
10,7,19,BFGS,2.147e-07
11,6,0,BFGS,4.85188e-05
11,6,1,BFGS,0.0001411024
11,6,2,BFGS,2.6342e-06
11,6,3,BFGS,2.4773e-06
11,6,4,BFGS,2.06543e-05
11,6,5,BFGS,1.1504e-06
11,6,6,BFGS,4.88281e-05
11,6,7,BFGS,3.98614e-05
11,6,8,BFGS,0.0023191987
11,6,9,BFGS,3.537e-07
11,6,10,BFGS,0.0001594728
11,6,11,BFGS,2.3238e-05
11,6,12,BFGS,3.5874e-06
11,6,13,BFGS,8.0929e-05
11,6,14,BFGS,1.02259e-05
11,6,15,BFGS,3.2154e-06
11,6,16,BFGS,3.88349e-05
11,6,17,BFGS,5.03148e-05
11,6,18,BFGS,7.60338e-05
11,6,19,BFGS,1.8438e-06
11,7,0,BFGS,5.05e-08
11,7,1,BFGS,1.601e-07
11,7,2,BFGS,1.18e-08
11,7,3,BFGS,6.76e-08
11,7,4,BFGS,9.62e-08
11,7,5,BFGS,1.299e-07
11,7,6,BFGS,6.902e-07
11,7,7,BFGS,3.0792e-06
11,7,8,BFGS,5.951e-06
11,7,9,BFGS,1.9482e-06
11,7,10,BFGS,3.046e-07
11,7,11,BFGS,1.9571e-06
11,7,12,BFGS,2.015e-07
11,7,13,BFGS,1.0709e-06
11,7,14,BFGS,5.83e-08
11,7,15,BFGS,5.8e-08
11,7,16,BFGS,3.067e-07
11,7,17,BFGS,1.4885e-06
11,7,18,BFGS,4.705e-07
11,7,19,BFGS,8.6688e-06
12,6,0,BFGS,8.577e-07
12,6,1,BFGS,5.813e-07
12,6,2,BFGS,9.652e-07
12,6,3,BFGS,0.0040170327
12,6,4,BFGS,4.127e-07
12,6,5,BFGS,6.13697e-05
12,6,6,BFGS,0.5739010786
12,6,7,BFGS,0.0905376186
12,6,8,BFGS,0.0246655912
12,6,9,BFGS,2.1729e-06
12,6,10,BFGS,5.001e-07
12,6,11,BFGS,9.315e-07
12,6,12,BFGS,7.8268e-06
12,6,13,BFGS,1.114e-06
12,6,14,BFGS,7.8346e-06
12,6,15,BFGS,6.121e-07
12,6,16,BFGS,6.418e-07
12,6,17,BFGS,0.1017095182
12,6,18,BFGS,9.829e-07
12,6,19,BFGS,0.001656435
12,7,0,BFGS,5.3e-09
12,7,1,BFGS,0.0096200154
12,7,2,BFGS,5e-10
12,7,3,BFGS,6.9e-09
12,7,4,BFGS,1.5388e-06
12,7,5,BFGS,1.4639e-06
12,7,6,BFGS,1.46e-08
12,7,7,BFGS,2.26e-08
12,7,8,BFGS,2e-10
12,7,9,BFGS,3.5e-09
12,7,10,BFGS,4.9e-09
12,7,11,BFGS,7.4e-09
12,7,12,BFGS,6.21e-08
12,7,13,BFGS,2.9246e-06
12,7,14,BFGS,1.25e-08
12,7,15,BFGS,1.4625e-06
12,7,16,BFGS,1.4631e-06
12,7,17,BFGS,2.1e-09
12,7,18,BFGS,5.05e-08
12,7,19,BFGS,1.8e-09
13,6,0,BFGS,0.0006465516
13,6,1,BFGS,0.0009618388
13,6,2,BFGS,0.0005358399
13,6,3,BFGS,0.0006784979
13,6,4,BFGS,0.0008662624
13,6,5,BFGS,0.0005839624
13,6,6,BFGS,0.0006386272
13,6,7,BFGS,0.000813255
13,6,8,BFGS,0.000936654
13,6,9,BFGS,0.0006673843
13,6,10,BFGS,0.0006728588
13,6,11,BFGS,0.0005025093
13,6,12,BFGS,0.0003003797
13,6,13,BFGS,0.0003008377
13,6,14,BFGS,0.0006527882
13,6,15,BFGS,0.0003938009
13,6,16,BFGS,0.0004180817
13,6,17,BFGS,0.0004167081
13,6,18,BFGS,0.0010103621
13,6,19,BFGS,0.0003499392
13,7,0,BFGS,0.0005413451
13,7,1,BFGS,0.0003363835
13,7,2,BFGS,0.0015775099
13,7,3,BFGS,0.0019526583
13,7,4,BFGS,0.001087483
13,7,5,BFGS,0.0011554638
13,7,6,BFGS,0.002486249
13,7,7,BFGS,0.0017129398
13,7,8,BFGS,0.0002915731
13,7,9,BFGS,0.001218893
13,7,10,BFGS,0.0021233417
13,7,11,BFGS,0.0004674744
13,7,12,BFGS,0.0011920244
13,7,13,BFGS,0.0010840368
13,7,14,BFGS,0.0010589959
13,7,15,BFGS,0.0006507474
13,7,16,BFGS,0.0015872735
13,7,17,BFGS,0.0017324884
13,7,18,BFGS,0.0011226771
13,7,19,BFGS,0.0009446365
14,6,0,BFGS,6.433e-07
14,6,1,Non-elitist,1.56505e-05
14,6,2,BFGS,4.402e-07
14,6,3,BFGS,1.976e-06
14,6,4,BFGS,1.418e-06
14,6,5,BFGS,7.155e-07
14,6,6,BFGS,1.8158e-06
14,6,7,BFGS,3.4675e-06
14,6,8,BFGS,3.399e-06
14,6,9,BFGS,1.841e-06
14,6,10,Non-elitist,5.9722e-06
14,6,11,BFGS,2.1884e-06
14,6,12,BFGS,3.5349e-06
14,6,13,Non-elitist,2.5546e-06
14,6,14,BFGS,1.9582e-06
14,6,15,BFGS,3.3372e-06
14,6,16,BFGS,1.0872e-06
14,6,17,BFGS,3.867e-07
14,6,18,BFGS,1.7163e-06
14,6,19,BFGS,2.2103e-06
14,7,0,Non-elitist,5.5239e-06
14,7,1,Non-elitist,4.6458e-06
14,7,2,BFGS,2.5449e-06
14,7,3,BFGS,9.849e-07
14,7,4,Non-elitist,5.3393e-06
14,7,5,BFGS,2.4321e-06
14,7,6,BFGS,2.2128e-06
14,7,7,BFGS,2.6611e-06
14,7,8,BFGS,2.345e-06
14,7,9,BFGS,2.2395e-06
14,7,10,Non-elitist,1.2683e-06
14,7,11,BFGS,1.3304e-06
14,7,12,BFGS,6.37e-07
14,7,13,BFGS,2.3183e-06
14,7,14,Non-elitist,5.9826e-06
14,7,15,BFGS,8.459e-07
14,7,16,Non-elitist,1.10065e-05
14,7,17,Non-elitist,1.2288e-06
14,7,18,Non-elitist,1.63649e-05
14,7,19,BFGS,1.5299e-06
15,6,0,Non-elitist,1.9899181868
15,6,1,Non-elitist,4.9747902485
15,6,2,Non-elitist,2.9848771735
15,6,3,Non-elitist,6.9647334338
15,6,4,Non-elitist,1.35e-08
15,6,5,Non-elitist,5.9697493069
15,6,6,Non-elitist,1.9899181142
15,6,7,Non-elitist,18.9043128973
15,6,8,Non-elitist,4.9747902607
15,6,9,Non-elitist,6.9647083631
15,6,10,Non-elitist,9.9495804963
15,6,11,Non-elitist,1.9899181152
15,6,12,Non-elitist,7.959667479
15,6,13,Non-elitist,4.9747952855
15,6,14,Non-elitist,5.9697493153
15,6,15,Non-elitist,5.9697495291
15,6,16,Non-elitist,14.924350686
15,6,17,Non-elitist,0.9949590573
15,6,18,Non-elitist,5.9697566413
15,6,19,Non-elitist,1.9899375084
15,7,0,Non-elitist,6.9647083619
15,7,1,Non-elitist,0.9949618301
15,7,2,Non-elitist,2.9848772417
15,7,3,Non-elitist,3.9798362668
15,7,4,PSO,2.986157968
15,7,5,Non-elitist,2.984879062
15,7,6,Non-elitist,9.9495822862
15,7,7,Non-elitist,1.9903016884
15,7,8,Non-elitist,12.934466749
15,7,9,Non-elitist,1.9899181168
15,7,10,Non-elitist,18.9041817527
15,7,11,Non-elitist,9.4920499963
15,7,12,Non-elitist,16.5196923471
15,7,13,Non-elitist,9.9495804954
15,7,14,PSO,7.3403199409
15,7,15,Non-elitist,2.9848779677
15,7,16,Non-elitist,10.9445196117
15,7,17,Non-elitist,7.5476385652
15,7,18,PSO,6.9789496195
15,7,19,Non-elitist,2.98488272
16,6,0,Non-elitist,1.2256537364
16,6,1,Non-elitist,2.4317560356
16,6,2,Non-elitist,0.2765105189
16,6,3,PSO,0.6160954637
16,6,4,Non-elitist,0.2792635217
16,6,5,Non-elitist,0.0096571571
16,6,6,Non-elitist,0.0116670649
16,6,7,Non-elitist,0.001265724
16,6,8,Non-elitist,8.7400463977
16,6,9,Non-elitist,2.7035157829
16,6,10,Non-elitist,0.7096238716
16,6,11,Non-elitist,1.14e-08
16,6,12,Non-elitist,1.2190950974
16,6,13,Non-elitist,2.8770533303
16,6,14,PSO,0.1170703659
16,6,15,Non-elitist,2.2494598835
16,6,16,Non-elitist,2.8137706137
16,6,17,Non-elitist,0.0146119007
16,6,18,Non-elitist,0.3244368232
16,6,19,PSO,2.2073253032
16,7,0,Non-elitist,0.010859718
16,7,1,Non-elitist,0.2166670032
16,7,2,PSO,0.2121447385
16,7,3,Non-elitist,0.01106412
16,7,4,Non-elitist,0.3308110633
16,7,5,PSO,0.1047020853
16,7,6,Non-elitist,3.0364e-06
16,7,7,Non-elitist,0.005655897
16,7,8,Non-elitist,0.4591713834
16,7,9,Non-elitist,1.39492e-05
16,7,10,DE,0.8469745285
16,7,11,Non-elitist,0.5616254675
16,7,12,Non-elitist,1.5774798815
16,7,13,PSO,1.0427548989
16,7,14,Non-elitist,0.0986026608
16,7,15,Non-elitist,0.7088802202
16,7,16,Non-elitist,0.318044087
16,7,17,Elitist,0.1371199968
16,7,18,PSO,1.707372942
16,7,19,Non-elitist,0.2883855571
17,6,0,Non-elitist,0.209107631
17,6,1,Non-elitist,0.186331833
17,6,2,BFGS,1.902467372
17,6,3,Non-elitist,0.0023392005
17,6,4,Non-elitist,0.04408257
17,6,5,Non-elitist,0.0093557662
17,6,6,Non-elitist,0.0003152373
17,6,7,Non-elitist,0.0154993604
17,6,8,Non-elitist,0.0005407862
17,6,9,Non-elitist,0.0016454935
17,6,10,Non-elitist,0.013849659
17,6,11,Non-elitist,0.0266116251
17,6,12,Non-elitist,0.0957369201
17,6,13,Non-elitist,0.1892724319
17,6,14,Non-elitist,0.9892721545
17,6,15,Non-elitist,0.0348636886
17,6,16,Non-elitist,0.0146808012
17,6,17,BFGS,0.2007593245
17,6,18,Non-elitist,0.0433259083
17,6,19,Non-elitist,0.147705465
17,7,0,Non-elitist,0.0503038406
17,7,1,Non-elitist,0.0169154829
17,7,2,Non-elitist,0.0707658014
17,7,3,Non-elitist,0.2710089248
17,7,4,Non-elitist,0.0497617137
17,7,5,Non-elitist,0.0357366806
17,7,6,Non-elitist,0.0662642296
17,7,7,Non-elitist,0.0120567454
17,7,8,Non-elitist,0.0013037083
17,7,9,Non-elitist,0.0135188829
17,7,10,Non-elitist,0.0084537801
17,7,11,Non-elitist,0.0003994737
17,7,12,Non-elitist,0.0002609477
17,7,13,Non-elitist,0.0001874662
17,7,14,Non-elitist,0.0641292317
17,7,15,Non-elitist,0.048063648
17,7,16,Non-elitist,0.000213627
17,7,17,Non-elitist,0.0549706942
17,7,18,Non-elitist,0.0864257686
17,7,19,Non-elitist,0.0389771836
18,6,0,Non-elitist,0.0008518223
18,6,1,Non-elitist,0.2118871984
18,6,2,Non-elitist,0.1612707879
18,6,3,Non-elitist,0.0441898226
18,6,4,Non-elitist,1.5048429611
18,6,5,Non-elitist,0.4072081649
18,6,6,Non-elitist,0.155494871
18,6,7,Non-elitist,0.1433297637
18,6,8,Non-elitist,0.1630303494
18,6,9,Non-elitist,0.4569044942
18,6,10,Non-elitist,0.5265580892
18,6,11,Non-elitist,0.0964521554
18,6,12,Non-elitist,0.7044204721
18,6,13,Non-elitist,0.0988788437
18,6,14,Non-elitist,0.0782001498
18,6,15,Non-elitist,0.1388660617
18,6,16,Non-elitist,0.327625956
18,6,17,Non-elitist,1.4593316673
18,6,18,Non-elitist,0.1002873328
18,6,19,Non-elitist,0.2090719387
18,7,0,Non-elitist,0.0431843177
18,7,1,Non-elitist,0.1235317139
18,7,2,Non-elitist,0.9721417577
18,7,3,Non-elitist,0.5551130946
18,7,4,Non-elitist,0.0387133071
18,7,5,Non-elitist,0.0188258686
18,7,6,Non-elitist,1.1408089943
18,7,7,Non-elitist,0.0092785164
18,7,8,Non-elitist,0.141457227
18,7,9,Non-elitist,0.3041899259
18,7,10,Non-elitist,0.0050646123
18,7,11,Non-elitist,0.0048914988
18,7,12,Non-elitist,0.1243925293
18,7,13,Non-elitist,0.0922818498
18,7,14,Non-elitist,2.7206062853
18,7,15,Non-elitist,0.496510486
18,7,16,Non-elitist,0.02972943
18,7,17,Non-elitist,0.0412218096
18,7,18,Non-elitist,0.0677651193
18,7,19,Non-elitist,0.0547143798
19,6,0,BFGS,0.2356191366
19,6,1,BFGS,1.0367280124
19,6,2,BFGS,0.8953539412
19,6,3,Non-elitist,0.8232801557
19,6,4,Non-elitist,1.3860061369
19,6,5,BFGS,0.4123341455
19,6,6,BFGS,0.7107850258
19,6,7,BFGS,0.3337939081
19,6,8,BFGS,0.5576912408
19,6,9,Non-elitist,1.0859361212
19,6,10,BFGS,0.4084067334
19,6,11,BFGS,0.9110615852
19,6,12,Non-elitist,1.1037320286
19,6,13,Non-elitist,2.1542444075
19,6,14,Non-elitist,2.2658727325
19,6,15,BFGS,0.0592132239
19,6,16,BFGS,0.3612828456
19,6,17,BFGS,0.0942474687
19,6,18,Non-elitist,1.8058473101
19,6,19,BFGS,0.1217369032
19,7,0,BFGS,0.2259224315
19,7,1,Non-elitist,0.2113691885
19,7,2,BFGS,0.4319686928
19,7,3,Non-elitist,0.1561051881
19,7,4,BFGS,0.0903204803
19,7,5,BFGS,0.7097710399
19,7,6,BFGS,0.4476767139
19,7,7,BFGS,0.2895831898
19,7,8,BFGS,0.5065821078
19,7,9,BFGS,0.2984509914
19,7,10,BFGS,0.5419244684
19,7,11,Non-elitist,1.1486105091
19,7,12,BFGS,0.3848448968
19,7,13,BFGS,0.4280416924
19,7,14,Non-elitist,0.2412941984
19,7,15,BFGS,0.3495018785
19,7,16,BFGS,1.3690043012
19,7,17,Non-elitist,1.5208672651
19,7,18,BFGS,1.1623905178
19,7,19,BFGS,0.3027296969
20,6,0,PSO,0.6713803369
20,6,1,PSO,1.067487855
20,6,2,PSO,0.2373230551
20,6,3,PSO,0.7911621188
20,6,4,PSO,0.5926597422
20,6,5,PSO,1.4213602627
20,6,6,BFGS,1.6188899508
20,6,7,Elitist,1.8952352009
20,6,8,PSO,1.1715705833
20,6,9,PSO,1.3821021918
20,6,10,BFGS,1.737122774
20,6,11,PSO,3.53539e-05
20,6,12,PSO,1.1058165638
20,6,13,PSO,0.9475590223
20,6,14,BFGS,0.4737533385
20,6,15,PSO,1.1140784072
20,6,16,BFGS,2.2024110385
20,6,17,BFGS,2.4478843876
20,6,18,PSO,0.9107109478
20,6,19,PSO,0.8293035081
20,7,0,PSO,2.4875078404
20,7,1,Elitist,1.0264927663
