fid,iid,rep,VBS,Static B150,Lookahead 0,Lookahead 1,Lookahead 2,Lookahead 3,Lookahead 4,Lookahead 5,Lookahead 6,Lookahead 7,Lookahead 8,Lookahead 9,Lookahead 10,Lookahead 11,Lookahead 12,Lookahead 13,Lookahead 14,Lookahead 15,Lookahead 16,Lookahead 17,Lookahead 18,Lookahead 19,Lookahead 20
2,6,19,6.778577699151356e-12,3.162625716868206e-11,5.517364343177178e-11,4.1644909742899465e-11,4.1644909742899465e-11,5.3660187404602766e-11,5.517364343177178e-11,5.517364343177178e-11,5.517364343177178e-11,4.1644909742899465e-11,4.1644909742899465e-11,4.1644909742899465e-11,4.1644909742899465e-11,4.1644909742899465e-11,4.1644909742899465e-11,4.1644909742899465e-11,4.1644909742899465e-11,4.1644909742899465e-11,4.1644909742899465e-11,4.1644909742899465e-11,4.1644909742899465e-11,4.1644909742899465e-11,4.1644909742899465e-11
2,7,0,2.620836880851129e-11,5.378203013606253e-06,5.2864379540551454e-11,5.3923088216834e-11,5.3923088216834e-11,5.3923088216834e-11,4.184741442259109e-11,5.3923088216834e-11,5.2864379540551454e-11,5.2864379540551454e-11,5.2864379540551454e-11,5.2864379540551454e-11,4.184741442259109e-11,4.184741442259109e-11,5.2864379540551454e-11,5.2864379540551454e-11,5.2864379540551454e-11,5.2864379540551454e-11,5.2864379540551454e-11,5.2864379540551454e-11,5.2864379540551454e-11,5.2864379540551454e-11,5.2864379540551454e-11
2,7,1,5.8406612879480235e-12,2.2147617073642323e-11,5.1457504923746455e-11,5.1457504923746455e-11,3.718270136232604e-11,3.718270136232604e-11,3.718270136232604e-11,5.1457504923746455e-11,5.1457504923746455e-11,5.1457504923746455e-11,5.1457504923746455e-11,5.1457504923746455e-11,3.26032534303522e-11,5.1457504923746455e-11,5.1457504923746455e-11,3.718270136232604e-11,5.1457504923746455e-11,5.1457504923746455e-11,5.1457504923746455e-11,5.1457504923746455e-11,5.1457504923746455e-11,5.1457504923746455e-11,5.1457504923746455e-11
2,7,2,1.1805667554654065e-11,3.3573144264664734e-11,4.376232709546457e-11,1.1805667554654065e-11,5.290345939101826e-11,8.456169098280951e-11,1.1805667554654065e-11,8.456169098280951e-11,8.456169098280951e-11,5.290345939101826e-11,8.456169098280951e-11,1.1805667554654065e-11,1.1805667554654065e-11,1.1805667554654065e-11,5.290345939101826e-11,1.1805667554654065e-11,8.456169098280951e-11,8.456169098280951e-11,8.456169098280951e-11,8.456169098280951e-11,8.456169098280951e-11,8.456169098280951e-11,8.456169098280951e-11
2,7,3,3.4070524179696804e-12,2.3099744339560857e-11,4.175859658062109e-11,2.318145675417327e-11,5.3081095074958284e-11,2.318145675417327e-11,2.318145675417327e-11,2.674700212423886e-07,2.318145675417327e-11,5.3081095074958284e-11,5.3081095074958284e-11,2.674700212423886e-07,2.318145675417327e-11,2.318145675417327e-11,2.674700212423886e-07,2.674700212423886e-07,2.674700212423886e-07,2.674700212423886e-07,2.674700212423886e-07,2.674700212423886e-07,2.674700212423886e-07,2.674700212423886e-07,2.674700212423886e-07
2,7,4,2.26485497023532e-11,3.8667735680064646e-11,5.347189357962634e-11,4.530775754574279e-11,4.691003141488181e-11,4.691003141488181e-11,4.530775754574279e-11,4.691003141488181e-11,4.691003141488181e-11,4.530775754574279e-11,4.530775754574279e-11,4.691003141488181e-11,4.691003141488181e-11,4.691003141488181e-11,5.347189357962634e-11,4.691003141488181e-11,5.347189357962634e-11,5.347189357962634e-11,5.347189357962634e-11,5.347189357962634e-11,5.347189357962634e-11,5.347189357962634e-11,5.347189357962634e-11
2,7,5,5.645262035613996e-12,3.091571443292196e-11,1.5219825399981346e-11,5.645262035613996e-12,1.5219825399981346e-11,1.5219825399981346e-11,5.645262035613996e-12,5.645262035613996e-12,1.5219825399981346e-11,1.5219825399981346e-11,1.5219825399981346e-11,1.5219825399981346e-11,1.5219825399981346e-11,5.645262035613996e-12,1.5219825399981346e-11,5.645262035613996e-12,5.645262035613996e-12,5.645262035613996e-12,5.645262035613996e-12,5.645262035613996e-12,5.645262035613996e-12,5.645262035613996e-12,5.645262035613996e-12
2,7,6,2.9618973940159776e-11,4.382627594168298e-11,4.0472514228895307e-11,4.0472514228895307e-11,4.0472514228895307e-11,4.0472514228895307e-11,2.9618973940159776e-11,4.0472514228895307e-11,4.0472514228895307e-11,4.0472514228895307e-11,4.737898962048348e-11,4.737898962048348e-11,4.0472514228895307e-11,4.0472514228895307e-11,4.0472514228895307e-11,4.0472514228895307e-11,4.0472514228895307e-11,4.0472514228895307e-11,4.0472514228895307e-11,4.0472514228895307e-11,4.0472514228895307e-11,4.0472514228895307e-11,4.0472514228895307e-11
2,7,7,1.7564616427989677e-11,5.378202985184544e-06,5.4271254157356446e-11,5.4271254157356446e-11,5.4271254157356446e-11,5.4271254157356446e-11,3.587530272852746e-11,5.4271254157356446e-11,4.418154730956303e-11,5.4271254157356446e-11,5.4271254157356446e-11,5.4271254157356446e-11,4.418154730956303e-11,5.4271254157356446e-11,4.418154730956303e-11,5.4271254157356446e-11,5.4271254157356446e-11,5.4271254157356446e-11,5.4271254157356446e-11,5.4271254157356446e-11,5.4271254157356446e-11,5.4271254157356446e-11,5.4271254157356446e-11
2,7,8,2.746602945080668e-11,3.861089226120384e-11,4.148859034103225e-11,5.3216098194752703e-11,5.3216098194752703e-11,3.2244429348793346e-11,5.3216098194752703e-11,5.3216098194752703e-11,3.2244429348793346e-11,4.148859034103225e-11,3.2244429348793346e-11,5.3216098194752703e-11,5.3216098194752703e-11,5.3216098194752703e-11,5.3216098194752703e-11,3.2244429348793346e-11,3.2244429348793346e-11,3.2244429348793346e-11,3.2244429348793346e-11,3.2244429348793346e-11,3.2244429348793346e-11,3.2244429348793346e-11,3.2244429348793346e-11
