iid,rep,a1_budget,algname,achieved_regret,fid_a,fid_b,alpha
7,19,950,DE,0.5827317157069417,21,22,0.9
6,0,950,DE,6.284898792486665,21,22,0.7
6,1,950,DE,4.224650413095104,21,22,0.7
6,2,950,DE,5.379395493483194,21,22,0.7
6,3,950,DE,4.221322146495888,21,22,0.7
6,4,950,DE,4.076830948599402,21,22,0.7
6,5,950,DE,0.8585845822324666,21,22,0.7
6,6,950,DE,0.8767410828956639,21,22,0.7
6,7,950,DE,4.561725630014555,21,22,0.7
6,8,950,DE,5.5012536200658,21,22,0.7
6,9,950,DE,0.7097092104515627,21,22,0.7
6,10,950,DE,0.20858430573131972,21,22,0.7
6,11,950,DE,4.945792218833826,21,22,0.7
6,12,950,DE,0.9117781493208338,21,22,0.7
6,13,950,DE,4.51911939144063,21,22,0.7
6,14,950,DE,4.1121877247549685,21,22,0.7
6,15,950,DE,5.282616378316063,21,22,0.7
6,16,950,DE,5.718603397901975,21,22,0.7
6,17,950,DE,4.235232191095836,21,22,0.7
6,18,950,DE,4.308643378649813,21,22,0.7
6,19,950,DE,5.387158900197564,21,22,0.7
7,0,950,DE,2.601635182603789,21,22,0.7
7,1,950,DE,0.2129855129605955,21,22,0.7
7,2,950,DE,0.30598065608219904,21,22,0.7
7,3,950,DE,0.901534339602253,21,22,0.7
7,4,950,DE,0.2919562645002197,21,22,0.7
7,5,950,DE,0.43087608569097396,21,22,0.7
7,6,950,DE,2.8500269363097597,21,22,0.7
7,7,950,DE,0.2526881303553481,21,22,0.7
7,8,950,DE,0.2050637551207655,21,22,0.7
7,9,950,DE,1.6805197901586668,21,22,0.7
7,10,950,DE,0.42378799038627807,21,22,0.7
7,11,950,DE,1.3920430982961123,21,22,0.7
7,12,950,DE,0.794740666545371,21,22,0.7
7,13,950,DE,0.5923583933931252,21,22,0.7
7,14,950,DE,7.987387276335208,21,22,0.7
7,15,950,DE,0.5708717479743795,21,22,0.7
7,16,950,DE,0.9876952955241145,21,22,0.7
7,17,950,DE,0.5988308587064085,21,22,0.7
7,18,950,DE,3.165335664648454,21,22,0.7
7,19,950,DE,0.5305098341920953,21,22,0.7
6,0,950,DE,1.2892889038899569,21,22,0.5
6,1,950,DE,0.6149108778670133,21,22,0.5
6,2,950,DE,7.6998981649833045,21,22,0.5
6,3,950,DE,1.1355260112145675,21,22,0.5
6,4,950,DE,0.21135643294702625,21,22,0.5
6,5,950,DE,0.6576236969121192,21,22,0.5
6,6,950,DE,1.093444046665536,21,22,0.5
6,7,950,DE,7.697763980448656,21,22,0.5
6,8,950,DE,0.8390378101051845,21,22,0.5
6,9,950,DE,0.7476507110595818,21,22,0.5
6,10,950,DE,0.27919231970291963,21,22,0.5
6,11,950,DE,7.007337802012283,21,22,0.5
6,12,950,DE,1.905956872916933,21,22,0.5
6,13,950,DE,0.7738998974268586,21,22,0.5
6,14,950,DE,7.302616148999294,21,22,0.5
6,15,950,DE,0.41549451497532575,21,22,0.5
6,16,950,DE,6.507935899191002,21,22,0.5
6,17,950,DE,1.2175248758622992,21,22,0.5
6,18,950,DE,0.6047679301650483,21,22,0.5
6,19,950,DE,7.358357549189886,21,22,0.5
7,0,950,DE,0.4816313323538373,21,22,0.5
7,1,950,DE,0.7739642271506832,21,22,0.5
7,2,950,DE,0.559953633757629,21,22,0.5
7,3,950,DE,0.42720807368924124,21,22,0.5
7,4,950,DE,0.5854043902394355,21,22,0.5
7,5,950,DE,1.1260603642653213,21,22,0.5
7,6,950,DE,0.32343288031320644,21,22,0.5
7,7,950,DE,0.5634838234407922,21,22,0.5
7,8,950,DE,6.923377949505835,21,22,0.5
7,9,950,DE,0.297131470971986,21,22,0.5
7,10,950,DE,0.874220360840962,21,22,0.5
7,11,950,DE,0.4422711311837739,21,22,0.5
7,12,950,DE,0.3847814647932839,21,22,0.5
7,13,950,DE,0.5255226791217967,21,22,0.5
7,14,950,DE,0.8262460762334229,21,22,0.5
7,15,950,DE,1.8592899078010612,21,22,0.5
7,16,950,DE,0.47939191912893925,21,22,0.5
7,17,950,DE,0.555405728713672,21,22,0.5
7,18,950,DE,0.5247145818383724,21,22,0.5
7,19,950,DE,0.76276940441822,21,22,0.5
6,0,950,DE,1.4979643849815087,21,22,0.3
6,1,950,DE,1.9501579659843196,21,22,0.3
6,2,950,DE,12.72342439450866,21,22,0.3
6,3,950,DE,12.789772878619118,21,22,0.3
6,4,950,DE,0.5386537695065274,21,22,0.3
6,5,950,DE,1.8562436248803817,21,22,0.3
6,6,950,DE,0.8577207377536488,21,22,0.3
6,7,950,DE,0.46843631156141313,21,22,0.3
6,8,950,DE,1.0086683817311848,21,22,0.3
6,9,950,DE,0.7049509845833081,21,22,0.3
6,10,950,DE,0.8389282700899838,21,22,0.3
6,11,950,DE,12.883711203668565,21,22,0.3
6,12,950,DE,9.067118532225624,21,22,0.3
6,13,950,DE,2.272636071256014,21,22,0.3
6,14,950,DE,1.2765226942071528,21,22,0.3
6,15,950,DE,12.967228716512764,21,22,0.3
6,16,950,DE,12.981908226821254,21,22,0.3
6,17,950,DE,1.8488322857369646,21,22,0.3
6,18,950,DE,0.6830075820870725,21,22,0.3
