iid,rep,a1_budget,algname,achieved_regret,fid_a,fid_b,alpha
7,12,350,Elitist,3.7340246801503776,24,21,0.9
7,13,350,Elitist,4.852969985865094,24,21,0.9
7,14,350,Elitist,6.601670641154707,24,21,0.9
7,15,350,Elitist,5.559826397845402,24,21,0.9
7,16,350,Elitist,4.0971896502189855,24,21,0.9
7,17,350,Elitist,7.138670069256425,24,21,0.9
7,18,350,Elitist,3.8636523013459274,24,21,0.9
7,19,350,Elitist,6.638581029810083,24,21,0.9
6,0,350,Elitist,1.746551445399688,24,21,0.7
6,1,350,Elitist,1.7962070766972158,24,21,0.7
6,2,350,Elitist,1.335124870224395,24,21,0.7
6,3,350,Elitist,2.6825959628376315,24,21,0.7
6,4,350,Elitist,8.952117638235999,24,21,0.7
6,5,350,Elitist,1.3760370259861527,24,21,0.7
6,6,350,Elitist,1.9894998286904817,24,21,0.7
6,7,350,Elitist,1.421847570424335,24,21,0.7
6,8,350,Elitist,1.8645087520139347,24,21,0.7
6,9,350,Elitist,1.727969648794053,24,21,0.7
6,10,350,Elitist,1.2190189069809974,24,21,0.7
6,11,350,Elitist,1.8511921195407506,24,21,0.7
6,12,350,Elitist,1.6512781023041332,24,21,0.7
6,13,350,Elitist,1.2882446323707628,24,21,0.7
6,14,350,Elitist,1.8006086387811504,24,21,0.7
6,15,350,Elitist,1.7520970363317006,24,21,0.7
6,16,350,Elitist,1.7998830657176788,24,21,0.7
6,17,350,Elitist,1.7762342966591567,24,21,0.7
6,18,350,Elitist,1.3111609341680568,24,21,0.7
6,19,350,Elitist,1.8058267778372232,24,21,0.7
7,0,350,Elitist,1.817472497711632,24,21,0.7
7,1,350,Elitist,1.7285250229775149,24,21,0.7
7,2,350,Elitist,1.627746606968244,24,21,0.7
7,3,350,Elitist,1.5881401583449224,24,21,0.7
7,4,350,Elitist,1.5780786890189005,24,21,0.7
7,5,350,Elitist,1.8173934980812538,24,21,0.7
7,6,350,Elitist,1.7881230304627478,24,21,0.7
7,7,350,Elitist,1.3086619424807227,24,21,0.7
7,8,350,Elitist,8.715415923233872,24,21,0.7
7,9,350,Elitist,8.121385475381018,24,21,0.7
7,10,350,Elitist,1.8878273198658133,24,21,0.7
7,11,350,Elitist,1.4848669592522121,24,21,0.7
7,12,350,Elitist,1.4567126099107337,24,21,0.7
7,13,350,Elitist,1.5539999343555466,24,21,0.7
7,14,350,Elitist,1.5972970483210356,24,21,0.7
7,15,350,Elitist,1.3943332134017732,24,21,0.7
7,16,350,Elitist,1.6866846062602963,24,21,0.7
7,17,350,Elitist,1.7707173544636676,24,21,0.7
7,18,350,Elitist,1.6591487393854463,24,21,0.7
7,19,350,Elitist,1.6581764998997126,24,21,0.7
6,0,350,Elitist,0.9228300087768466,24,21,0.5
6,1,350,Elitist,0.5643484321150353,24,21,0.5
6,2,350,Elitist,0.49989154636872696,24,21,0.5
6,3,350,Elitist,0.7408607728246904,24,21,0.5
6,4,350,Elitist,0.8068488053477254,24,21,0.5
6,5,350,Elitist,0.4884898947868616,24,21,0.5
6,6,350,Elitist,0.8968656801326166,24,21,0.5
6,7,350,Elitist,0.7567790434570573,24,21,0.5
6,8,350,Elitist,0.531847918800392,24,21,0.5
6,9,350,Elitist,0.3887551142159872,24,21,0.5
6,10,350,Elitist,1.0316951408230093,24,21,0.5
6,11,350,Elitist,0.7415750245851412,24,21,0.5
6,12,350,Elitist,0.5762209521074191,24,21,0.5
6,13,350,Elitist,0.46299090628240436,24,21,0.5
6,14,350,Elitist,0.9257505490350193,24,21,0.5
6,15,350,Elitist,0.9070770285918531,24,21,0.5
6,16,350,Elitist,0.420295199600525,24,21,0.5
6,17,350,Elitist,0.71840230729684,24,21,0.5
6,18,350,Elitist,0.6765416152187743,24,21,0.5
6,19,350,Elitist,0.7852792536453931,24,21,0.5
7,0,350,Elitist,0.6946246866612342,24,21,0.5
7,1,350,Elitist,0.5173631650052027,24,21,0.5
7,2,350,Elitist,0.5713763002704333,24,21,0.5
7,3,350,Elitist,0.5161950342921351,24,21,0.5
7,4,350,Elitist,0.6713848732547126,24,21,0.5
7,5,350,Elitist,0.8705001781223292,24,21,0.5
7,6,350,Elitist,0.602093582583925,24,21,0.5
7,7,350,Elitist,0.4847261231531274,24,21,0.5
7,8,350,Elitist,0.7206138805058845,24,21,0.5
7,9,350,Elitist,11.104666510170839,24,21,0.5
7,10,350,Elitist,0.9352881644424499,24,21,0.5
7,11,350,Elitist,0.9519262873985661,24,21,0.5
7,12,350,Elitist,0.3573941158513837,24,21,0.5
7,13,350,Elitist,0.8315978361415645,24,21,0.5
7,14,350,Elitist,0.5628530114844283,24,21,0.5
7,15,350,Elitist,0.5176359807214916,24,21,0.5
7,16,350,Elitist,0.5279615366790615,24,21,0.5
7,17,350,Elitist,0.9095498136236484,24,21,0.5
7,18,350,Elitist,0.8482959812596119,24,21,0.5
7,19,350,Elitist,0.46110983481497547,24,21,0.5
6,0,350,Elitist,0.26324081471019956,24,21,0.3
6,1,350,Elitist,1.093306601121897,24,21,0.3
6,2,350,Elitist,0.2614055894283577,24,21,0.3
6,3,350,Elitist,0.4976781608367245,24,21,0.3
6,4,350,Elitist,0.445987372785784,24,21,0.3
6,5,350,Elitist,0.1996244853260902,24,21,0.3
6,6,350,Elitist,0.7313914280185132,24,21,0.3
6,7,350,Elitist,0.12103438741272818,24,21,0.3
6,8,350,Elitist,0.2139284715640249,24,21,0.3
6,9,350,Elitist,0.2976293716935104,24,21,0.3
6,10,350,Elitist,0.46314937837080744,24,21,0.3
6,11,350,Elitist,0.21546397969530295,24,21,0.3
6,12,350,Elitist,0.19624612910370345,24,21,0.3
6,13,350,Elitist,0.42730831060701313,24,21,0.3
6,14,350,Elitist,0.4557450315278045,24,21,0.3
6,15,350,Elitist,0.42703324193623415,24,21,0.3
6,16,350,Elitist,0.6754962281885991,24,21,0.3
6,17,350,Elitist,0.471615938303783,24,21,0.3
6,18,350,Elitist,0.2981038014197786,24,21,0.3
6,19,350,Elitist,0.41571741667503553,24,21,0.3
7,0,350,Elitist,0.42877025935595175,24,21,0.3
7,1,350,Elitist,0.3675362744134669,24,21,0.3
7,2,350,Elitist,0.46601772031962196,24,21,0.3
7,3,350,Elitist,1.1351808729012545,24,21,0.3
7,4,350,Elitist,0.4562132809968082,24,21,0.3
7,5,350,Elitist,0.24426497802942282,24,21,0.3
7,6,350,Elitist,0.453986243381858,24,21,0.3
7,7,350,Elitist,0.43853141947878066,24,21,0.3
7,8,350,Elitist,0.5005909800659799,24,21,0.3
7,9,350,Elitist,0.3985053170156866,24,21,0.3
7,10,350,Elitist,0.4233953728264792,24,21,0.3
7,11,350,Elitist,0.6728125915239419,24,21,0.3
7,12,350,Elitist,0.4729368552549623,24,21,0.3
7,13,350,Elitist,0.5362612836406044,24,21,0.3
7,14,350,Elitist,0.22475870652513036,24,21,0.3
7,15,350,Elitist,0.3449518772697668,24,21,0.3
7,16,350,Elitist,0.26861939075842556,24,21,0.3
7,17,350,Elitist,0.1789358636325571,24,21,0.3
7,18,350,Elitist,0.4941029543957815,24,21,0.3
7,19,350,Elitist,0.49458886703423344,24,21,0.3
6,0,350,Elitist,0.33017055063386513,24,21,0.1
6,1,350,Elitist,0.1278734063762312,24,21,0.1
6,2,350,Elitist,0.6557743974785318,24,21,0.1
6,3,350,Elitist,0.08620249271011395,24,21,0.1
6,4,350,Elitist,0.19944794093301366,24,21,0.1
6,5,350,Elitist,0.1667737624177813,24,21,0.1
6,6,350,Elitist,0.13754522018452264,24,21,0.1
6,7,350,Elitist,0.21448003582069702,24,21,0.1
6,8,350,Elitist,0.11293537229783028,24,21,0.1
6,9,350,Elitist,0.2336754923042022,24,21,0.1
6,10,350,Elitist,0.1558091847969281,24,21,0.1
6,11,350,Elitist,0.2212542748563469,24,21,0.1
6,12,350,Elitist,0.7059091339230779,24,21,0.1
6,13,350,Elitist,0.17048657139815962,24,21,0.1
6,14,350,Elitist,0.2557258358699264,24,21,0.1
6,15,350,Elitist,0.24926063826550915,24,21,0.1
6,16,350,Elitist,0.6635680909354646,24,21,0.1
6,17,350,Elitist,0.37552818837817253,24,21,0.1
6,18,350,Elitist,0.4370809618361971,24,21,0.1
6,19,350,Elitist,0.20026445593221232,24,21,0.1
7,0,350,Elitist,0.2932843074094231,24,21,0.1
7,1,350,Elitist,0.13172000440137238,24,21,0.1
7,2,350,Elitist,0.23548346784152066,24,21,0.1
7,3,350,Elitist,0.2774109880015289,24,21,0.1
