fid,iid,rep,predicted_algo,precision,BFGS,DE,Elitist,MLSL,Non-elitist,PSO
4.0,6.0,19.0,MLSL,24.873874894,173.1194853847,28.9621436074,30.8434722393,24.873874894,8.9564168134,10.4296430083
4.0,7.0,0.0,Elitist,9.9498640265,395.9439954566,28.3137181524,9.9498640265,20.8940952782,22.8839523891,7.6073356196
4.0,7.0,1.0,Elitist,12.9344526331,341.5218764912,24.0892987472,12.9344526331,20.8940952776,9.9495823405,7.7603387689
4.0,7.0,2.0,Non-elitist,9.9496233745,13.9294116858,32.053078199,16.914284588,20.8940952781,9.9496233745,5.1424585654
4.0,7.0,3.0,Non-elitist,18.9130542528,88.5501867151,28.7689893115,7.9596674191,20.3066721982,18.9130542528,8.4108761197
4.0,7.0,4.0,PSO,3.1970406689,1174.6392063145,22.1494804723,41.7694330074,20.8940952799,9.9496602798,3.1970406689
4.0,7.0,5.0,Non-elitist,8.9546558271,114.4184978964,24.7731800197,17.9092232395,20.8940952777,8.9546558271,7.3659708049
4.0,7.0,6.0,PSO,10.0019159017,1499.1580829377,24.6273823875,5.9697493054,20.8940952781,32.8335213173,10.0019159017
4.0,7.0,7.0,BFGS,111.4338710826,111.4338710826,23.6352843465,52.7322749387,20.8940952784,13.9294234574,5.088245615
4.0,7.0,8.0,PSO,14.2769359649,1099.1491690291,31.5688466442,19.8990806616,20.8940952784,6.9985217012,14.2769359649
4.0,7.0,9.0,PSO,11.6631822087,292.4988967552,37.7738904983,8.9546214411,20.8940952786,9.9495936638,11.6631822087
4.0,7.0,10.0,Non-elitist,7.9596725398,255.6927200912,23.4269359284,0.9949591708,20.8940952781,7.9596725398,5.0377085683
4.0,7.0,11.0,PSO,3.3303713333,47.7577156652,19.6159999639,3.9798362285,20.8940952789,9.9495810913,3.3303713333
4.0,7.0,12.0,PSO,2.48037254,124.3676973465,28.1062329838,24.9803160951,20.8940952782,16.9143196383,2.48037254
