fid,iid,rep,budget,algorithm,precision
1,1,2,100,PSO,-1.1292913362198458
1,1,2,100,Elitist,-12.0
1,1,2,150,BFGS,-12.0
1,1,2,150,DE,-12.0
1,1,2,150,MLSL,-12.0
1,1,2,150,Non-elitist,-12.0
1,1,2,150,PSO,-1.6346494032433079
1,1,2,150,Elitist,-12.0
1,1,2,200,BFGS,-12.0
1,1,2,200,DE,-12.0
1,1,2,200,MLSL,-12.0
1,1,2,200,Non-elitist,-12.0
1,1,2,200,PSO,-1.3725428105375463
1,1,2,200,Elitist,-12.0
1,1,2,250,BFGS,-12.0
1,1,2,250,DE,-12.0
1,1,2,250,MLSL,-12.0
1,1,2,250,Non-elitist,-12.0
1,1,2,250,PSO,-0.7848559797013896
1,1,2,250,Elitist,-12.0
1,1,2,300,BFGS,-12.0
1,1,2,300,DE,-12.0
1,1,2,300,MLSL,-12.0
1,1,2,300,Non-elitist,-12.0
1,1,2,300,PSO,-0.6796059139472611
1,1,2,300,Elitist,-12.0
1,1,2,350,BFGS,-12.0
1,1,2,350,DE,-12.0
1,1,2,350,MLSL,-12.0
1,1,2,350,Non-elitist,-12.0
1,1,2,350,PSO,-0.8573528952922841
1,1,2,350,Elitist,-12.0
1,1,2,400,BFGS,-12.0
1,1,2,400,DE,-12.0
1,1,2,400,MLSL,-12.0
1,1,2,400,Non-elitist,-12.0
1,1,2,400,PSO,-1.1757814329699015
1,1,2,400,Elitist,-12.0
1,1,2,450,BFGS,-12.0
1,1,2,450,DE,-12.0
1,1,2,450,MLSL,-12.0
1,1,2,450,Non-elitist,-12.0
1,1,2,450,PSO,-1.3505759025192694
1,1,2,450,Elitist,-12.0
1,1,2,500,BFGS,-12.0
1,1,2,500,DE,-12.0
1,1,2,500,MLSL,-12.0
1,1,2,500,Non-elitist,-12.0
1,1,2,500,PSO,-1.8478466383886143
1,1,2,500,Elitist,-12.0
1,1,2,550,BFGS,-12.0
1,1,2,550,DE,-12.0
1,1,2,550,MLSL,-12.0
1,1,2,550,Non-elitist,-12.0
1,1,2,550,PSO,-2.66985291618359
1,1,2,550,Elitist,-12.0
1,1,2,600,BFGS,-12.0
1,1,2,600,DE,-12.0
1,1,2,600,MLSL,-12.0
1,1,2,600,Non-elitist,-12.0
1,1,2,600,PSO,-2.7926363406994077
1,1,2,600,Elitist,-12.0
1,1,2,650,BFGS,-5.642055564289831
1,1,2,650,DE,-12.0
1,1,2,650,MLSL,-12.0
1,1,2,650,Non-elitist,-12.0
1,1,2,650,PSO,-3.960814513422031
1,1,2,650,Elitist,-12.0
1,1,2,700,BFGS,-12.0
1,1,2,700,DE,-12.0
1,1,2,700,MLSL,-12.0
1,1,2,700,Non-elitist,-12.0
1,1,2,700,PSO,-4.600663052291486
1,1,2,700,Elitist,-12.0
1,1,2,750,BFGS,-12.0
1,1,2,750,DE,-12.0
1,1,2,750,MLSL,-5.341025663863775
1,1,2,750,Non-elitist,-12.0
1,1,2,750,PSO,-5.341025663863775
1,1,2,750,Elitist,-12.0
1,1,2,800,BFGS,-12.0
1,1,2,800,DE,-12.0
1,1,2,800,MLSL,-12.0
1,1,2,800,Non-elitist,-12.0
1,1,2,800,PSO,-12.0
1,1,2,800,Elitist,-12.0
1,1,2,850,BFGS,-12.0
1,1,2,850,DE,-12.0
1,1,2,850,MLSL,-12.0
1,1,2,850,Non-elitist,-12.0
1,1,2,850,PSO,-12.0
1,1,2,850,Elitist,-12.0
1,1,2,900,BFGS,-12.0
1,1,2,900,DE,-12.0
1,1,2,900,MLSL,-12.0
1,1,2,900,Non-elitist,-12.0
1,1,2,900,PSO,-12.0
1,1,2,900,Elitist,-12.0
1,1,2,950,BFGS,-12.0
1,1,2,950,DE,-12.0
1,1,2,950,MLSL,-12.0
1,1,2,950,Non-elitist,-12.0
1,1,2,950,PSO,-12.0
