fid,iid,rep,budget,pred_t0,pred_t1,pred_t2,pred_t3,pred_t4,pred_t5,pred_t6,pred_t7,pred_t8,pred_t9,pred_t10,pred_t11,pred_t12,pred_t13,pred_t14,pred_t15,pred_t16,pred_t17,pred_t18,pred_t19
1,1.0,1.0,300,-11.861702489320418,-11.881004581952618,-11.962314467158176,-11.999947566674102,-11.784100912228,-11.895129210086134,-11.91247243082101,-11.853062286382825,-11.847244082539373,-11.971087215015514,-11.850687897410259,-11.791324769961141,-11.800468540923703,-11.94051998102994,-11.895332455199764,,,,,
1,1.0,1.0,350,-11.942559657583175,-12.0,-11.920438384878278,-11.95190064834022,-11.768748600120734,-11.932057827032414,-11.989462297281397,-11.88436173251609,-11.880929709179023,-11.95333128975831,-11.872251935797534,-11.968277163128679,-11.857598444041328,-11.906615816505447,,,,,,
1,1.0,1.0,400,-11.973527176878349,-12.0,-12.0,-11.923235306308733,-11.900506288559715,-11.935670852556065,-11.965344870872242,-11.995221245156014,-11.89799637482387,-11.906747649715596,-11.933593699939333,-11.678036915806647,-11.634471133028098,,,,,,,
1,1.0,1.0,450,-11.998038613429541,-11.941856556497143,-11.918024920882674,-11.998638316897205,-11.99082527166943,-11.816627622403788,-11.752524921682799,-11.784248832512985,-11.757740085752108,-11.906248729814958,-12.0,-11.924286151427275,,,,,,,,
1,1.0,1.0,500,-11.947382945999816,-11.875059377194656,-11.99182298030779,-11.922986179266319,-11.834817205110664,-11.759124161764202,-11.953222842673465,-11.893686050974132,-11.899912313995639,-11.805929953868352,-11.8379345893682,,,,,,,,,
1,1.0,1.0,550,-11.846486691215633,-11.908862307704918,-11.93517535038099,-11.822758027809753,-11.906445685346931,-11.819472302032127,-11.64047877734614,-11.725111363936765,-11.855725032533762,-11.804370161522804,,,,,,,,,,
1,1.0,1.0,600,-11.99259899298507,-11.690811657280165,-11.950798858266065,-11.855189379316021,-11.92261731402455,-11.854633453214808,-11.880182832305932,-11.852850599198389,-11.754491537756198,,,,,,,,,,,
1,1.0,1.0,650,-11.796578656554852,-11.80611605820279,-11.855309587199118,-11.821971679276697,-11.677319138410112,-11.673793101196923,-11.871842310735298,-11.619277405653802,,,,,,,,,,,,
1,1.0,1.0,700,-11.922319583063585,-11.752317173798685,-11.852980933935669,-11.90113898077832,-11.95098262753588,-11.829064754265364,-11.665411494279704,,,,,,,,,,,,,
1,1.0,1.0,750,-11.855767469456323,-11.804533492223332,-11.706816796281512,-11.742411182895845,-11.697055274464743,-11.693930745220259,,,,,,,,,,,,,,
1,1.0,1.0,800,-11.709706750240615,-11.579796802094899,-11.628020290315543,-11.62822594769006,-11.72489804385458,,,,,,,,,,,,,,,
1,1.0,1.0,850,-11.756750349017896,-11.803774554344427,-11.571438677514797,-11.708618246699636,,,,,,,,,,,,,,,,
1,1.0,1.0,900,-11.825561098810812,-11.824235003953168,-11.8296779703243,,,,,,,,,,,,,,,,,
1,1.0,1.0,950,-11.811135749319005,-11.668865128765603,,,,,,,,,,,,,,,,,,
1,1.0,1.0,1000,-11.70716199700168,,,,,,,,,,,,,,,,,,,
1,1.0,2.0,50,-11.164641415723198,-11.417141041571098,-11.524113450433395,-11.365070229701923,-11.411113693105321,-11.552613222385808,-11.387222633817558,-11.435983328096164,-11.528026111784346,-11.409216216465117,-11.5660699303905,-11.428119070937669,-11.416221132104837,-11.15210037615554,-11.396910299572934,-11.408776922799463,-11.54013864776172,-11.705319363686934,-11.237844634818124,-11.31268548459644
1,1.0,2.0,100,-11.592001879148267,-11.379655024292536,-11.559965913190549,-11.39967462539922,-11.630491818688936,-11.575592888687682,-11.771587418540914,-11.518761334831016,-11.406482108251982,-11.583863984197096,-11.616218198371067,-11.758737614145968,-11.731248797574528,-11.590927106186244,-11.61599451457892,-11.606462772612984,-11.646853518538977,-11.81345141663529,-11.742825574993766,
1,1.0,2.0,150,-11.482936860655375,-11.314964075935505,-11.388205282345174,-11.298056847252282,-11.225803180578465,-10.810601426830035,-11.014949245443292,-11.130656375004365,-11.58664764794031,-11.401689494214027,-11.159015680395921,-11.092658217723002,-11.106284283568595,-11.537889363203925,-11.49273371632946,-11.548563615016894,-11.525817678542612,-11.353288371650805,,
1,1.0,2.0,200,-11.650765497379668,-11.853570486574618,-11.77966752410115,-11.971108696175257,-11.64384306214432,-11.86167760575728,-11.932263402962839,-11.724871895885679,-11.87231837718665,-11.81351919886432,-11.78441232409883,-11.793500845406466,-11.8769164625156,-11.729813916608249,-11.913603399252043,-11.773376408444737,-11.714600330109754,,,
1,1.0,2.0,250,-11.876041133142584,-11.76432828346532,-11.837512507131544,-11.543667394096666,-11.929745695834082,-11.735425842260446,-11.943631373851964,-11.78374685655643,-11.526075300674972,-11.910243433833005,-11.746029828640193,-11.57218530940492,-11.635348439055347,-11.84383619522595,-11.679898092894607,-11.620932182172975,,,,
1,1.0,2.0,300,-11.915513174379193,-11.86665817931147,-11.824568441166205,-11.828857454151706,-11.72762904387569,-11.2810262135562,-11.813115387233033,-11.639604096072462,-11.59546179879586,-11.584787704673944,-11.55531015909207,-11.398447633530948,-11.411962988483916,-11.291154072110588,-11.386158868727767,,,,,
1,1.0,2.0,350,-11.842497698134133,-11.97167572337027,-11.75234759003164,-11.887061339051135,-11.92547634220132,-11.944052752512487,-11.885538656848688,-11.871264550212112,-11.969580177159804,-11.907105001992548,-11.97346262846274,-11.776621850110313,-11.683261242338004,-11.571391004145857,,,,,,
1,1.0,2.0,400,-11.950429975380716,-12.0,-11.85196590735225,-11.955831365987308,-11.992427937976741,-11.910952750662055,-11.957750315595876,-11.792381672284868,-11.99388748125364,-11.85608105085774,-11.955337500662786,-11.776687283513958,-11.901867971662508,,,,,,,
1,1.0,2.0,450,-11.680359498617694,-11.90599344066921,-11.854336605289587,-11.566255292448462,-11.670746345338767,-11.621855919726901,-11.394314743957409,-11.592250823834563,-11.745304770081486,-11.654974366256162,-11.632370075130403,-11.452703735815009,,,,,,,,
1,1.0,2.0,500,-12.0,-11.817661740118739,-11.589002760560394,-11.732551365866938,-11.801643916214575,-11.852481782327972,-11.901867971662508,-11.855942386720184,-12.0,-11.71574051598618,-11.859947106263757,,,,,,,,,
1,1.0,2.0,550,-11.642224872880702,-11.601480347923653,-11.259055546589481,-11.681429104207858,-11.549482269386749,-11.810485400922172,-11.657409836579637,-11.848742137160109,-11.933406035224312,-11.790527431149995,,,,,,,,,,
1,1.0,2.0,600,-11.883360443421868,-11.894937663459336,-11.87454002310535,-11.916376145521332,-11.941673034715889,-11.778174712020371,-11.877019036090717,-11.781225383547223,-11.700050867138962,,,,,,,,,,,
1,1.0,2.0,650,-11.636873705620166,-12.0,-11.876954936986088,-12.0,-11.887968561622412,-11.956534078251233,-12.0,-12.0,,,,,,,,,,,,
1,1.0,2.0,700,-11.891048162371206,-11.764034455939068,-11.848938450124937,-12.0,-11.950982627535879,-11.950982627535879,-11.950982627535879,,,,,,,,,,,,,
1,1.0,2.0,750,-11.791040606093562,-11.996613031343065,-11.873546753356447,-12.0,-12.0,-11.919904331185611,,,,,,,,,,,,,,
1,1.0,2.0,800,-11.71084531886047,-11.906683261537886,-11.911396355355924,-12.0,-11.961743785314338,,,,,,,,,,,,,,,
1,1.0,2.0,850,-11.908862307704918,-12.0,-11.820203106081742,-11.825464706720885,,,,,,,,,,,,,,,,
1,1.0,2.0,900,-12.0,-11.855090814335975,-11.940089992931881,,,,,,,,,,,,,,,,,
1,1.0,2.0,950,-11.858500127646305,-11.739362730494847,,,,,,,,,,,,,,,,,,
1,1.0,2.0,1000,-11.699040587777686,,,,,,,,,,,,,,,,,,,
1,1.0,3.0,50,-11.120664748110475,-11.21989168410572,-11.532863191775986,-11.32796211993078,-11.12555039769262,-11.33243157422341,-11.053287191806705,-11.26953736563127,-11.291041044658154,-11.216571276223952,-11.088309099998995,-11.312994027672831,-11.145054295088157,-11.139441928990669,-11.032813194795686,-11.752541087202912,-11.235524048393309,-11.41685287972788,-11.058366459380624,-10.90765037592756
1,1.0,3.0,100,-11.607301973179188,-11.094878105853773,-11.387583490332146,-11.518552769904193,-11.647173769067866,-11.594694888783478,-11.564877939360505,-11.438521157809491,-11.202651441409278,-11.48019871732733,-11.236950963876836,-11.605294031695161,-11.440877368292535,-11.553904318896743,-11.431297258302196,-11.398776645334706,-11.411154327824764,-11.381926747336495,-11.153921977859321,
1,1.0,3.0,150,-11.391779103059447,-11.367606971685237,-11.466950460513184,-11.444619803033449,-11.245875480421539,-10.873249005650376,-11.552119330158792,-11.318975009724854,-11.563389703950534,-11.40761626017738,-11.416800033375145,-11.412058371261596,-11.354389811990382,-11.60988633541983,-11.426091862216754,-11.529807619272018,-11.45620831644612,-11.225943240561817,,
1,1.0,3.0,200,-11.084863194746516,-11.491744659540544,-11.43616868159025,-11.492921767078316,-11.318317070688463,-11.387501173598743,-11.5319469190423,-11.209085159107568,-11.521216021710863,-11.457230303282028,-11.366256526903268,-11.384396008546519,-11.625755414404791,-11.385491977926096,-11.260867317721898,-11.088714266456934,-11.072261713651596,,,
1,1.0,3.0,250,-11.429866240664193,-11.468774303149655,-11.619539403335152,-11.488718084028651,-11.508525796622541,-11.245103281525514,-11.4056113805436,-11.22589813059069,-11.435564516202936,-11.454090265553802,-11.58778601312057,-11.1134568029748,-11.059044787770047,-11.281222682419452,-10.988103956226688,-10.929983779400777,,,,
1,1.0,3.0,300,-11.4041028104122,-11.49762783510715,-11.831656098236248,-11.445525007599281,-11.43136220898217,-11.075416203501739,-11.384857222567817,-11.32154068058045,-11.336585279205467,-11.319650033970786,-11.251831008819016,-11.515507483210053,-11.540440799811961,-11.57007709303807,-11.454335786223416,,,,,
1,1.0,3.0,350,-11.250184312104846,-11.787262928278171,-11.525767078925515,-11.422794072984022,-11.258177111817117,-11.566127112191094,-11.516967314035822,-11.355662811789909,-11.484874832416128,-11.646296876957878,-11.40450118282341,-11.520633985818506,-11.690285582557351,-11.451685383845183,,,,,,
1,1.0,3.0,400,-11.603054679650286,-11.752235673506123,-11.743880849986457,-11.502580555508523,-11.511834395170544,-11.52654142016218,-11.724146311650632,-11.316437860485056,-11.5023214547454,-11.443915267226963,-11.490240241336668,-11.303678790463437,-11.183898126302779,,,,,,,
1,1.0,3.0,450,-11.548276393150049,-11.183543573305824,-11.333926445317314,-10.875113302780425,-11.692536309494225,-11.15959832909849,-11.12187820681315,-11.485330718705907,-11.433596195801861,-11.739232190298305,-11.363455969710548,-11.256966508241328,,,,,,,,
1,1.0,3.0,500,-11.6278212769187,-11.228176759544308,-11.330103770596459,-11.387946078084953,-11.458060818516245,-11.211349518859917,-11.705548791902567,-11.25879405675335,-11.508923419387838,-11.12763144405477,-11.483219686984631,,,,,,,,,
1,1.0,3.0,550,-11.163155413180508,-11.000337479115716,-10.781671583464965,-10.673201034161314,-10.819652260258081,-11.103469869616859,-11.051208888478206,-10.90461468951326,-11.25613710864268,-10.865351083637455,,,,,,,,,,
1,1.0,3.0,600,-10.999554809257504,-10.549144858453205,-11.244302506482502,-10.931742644664302,-11.436159381449132,-11.160198349221698,-11.458410397315827,-11.258115512110523,-11.547644122618237,,,,,,,,,,,
1,1.0,3.0,650,-11.311348712425914,-11.39043977465323,-11.111202249316012,-11.572756733225786,-11.477645620673933,-11.574202994935252,-11.712162749626781,-11.701302734747435,,,,,,,,,,,,
1,1.0,3.0,700,-11.562227409841004,-11.223902896141247,-11.7372846489998,-11.659806524208625,-11.722878944887558,-11.885593703113972,-11.6454173567794,,,,,,,,,,,,,
1,1.0,3.0,750,-10.765939436247304,-11.672936326792575,-11.479908423460252,-11.612342942479332,-11.656567003148478,-11.524828048546794,,,,,,,,,,,,,,
1,1.0,3.0,800,-11.416579152966882,-11.595245576349178,-11.580934047034535,-11.58545668257553,-11.444586880617045,,,,,,,,,,,,,,,
1,1.0,3.0,850,-11.80493270213732,-11.829451368307652,-11.5813183302447,-11.316694407107276,,,,,,,,,,,,,,,,
1,1.0,3.0,900,-11.764909338728382,-11.499183726032475,-11.616416238544272,,,,,,,,,,,,,,,,,
1,1.0,3.0,950,-11.213943508012148,-11.277593318674644,,,,,,,,,,,,,,,,,,
1,1.0,3.0,1000,-11.497870719008429,,,,,,,,,,,,,,,,,,,
1,1.0,4.0,50,-10.84695769496316,-10.896475475210718,-10.900812691080944,-10.851508486980357,-10.612032479098522,-11.117765625230614,-10.868260566601494,-11.215007662402652,-10.930552278902837,-11.074243278247973,-11.084332049450923,-10.848582178939006,-10.602767424054116,-10.80245579975663,-10.905006818941857,-10.667028895408667,-10.83225645733135,-11.016375442461165,-11.027192025884991,-10.775788424520183
1,1.0,4.0,100,-11.173771813699904,-11.023364895271145,-11.193980927106212,-11.203158796550987,-11.516000221176304,-11.522486692238097,-11.421299275912046,-11.278900504592054,-11.050611224039828,-11.14360134765656,-11.1229534320608,-11.438458072510517,-11.35164669588945,-11.421092910108667,-11.27942256495517,-11.229655859844398,-11.349389311878523,-11.326279622912127,-11.23149011846153,
1,1.0,4.0,150,-11.4442987280255,-11.506686321342249,-11.41689922602893,-11.686422038767295,-11.461740091817614,-11.248379276756287,-11.758381386052147,-11.438164296572165,-11.655693539506517,-11.493797839355489,-11.60914882398292,-11.648974002139187,-11.666264251330036,-11.745756221501301,-11.553154628541767,-11.61618333953806,-11.607511647037454,-11.474271957968535,,
1,1.0,4.0,200,-11.310034667786681,-11.857193221830936,-11.621998208915118,-11.635682156045158,-11.623609662452353,-11.465322602627625,-11.53323183267077,-11.498043299694169,-11.509989004313482,-11.796581527411256,-11.470139997713106,-11.404292594810046,-11.397658715306385,-11.620581323903371,-11.284024068150531,-11.026896567089127,-11.054910062559928,,,
1,1.0,4.0,250,-11.618295078233373,-11.913881330114089,-11.977948918147769,-11.765125665389068,-11.875385214255845,-11.493701592420292,-11.581443494792811,-11.60222563377602,-11.77379484753623,-11.634588503975543,-11.781692444197857,-11.41965350447038,-11.187455900284965,-11.370420390864716,-11.092397034539399,-11.106564505009935,,,,
1,1.0,4.0,300,-11.523958642054101,-11.567552072606013,-11.65049084719742,-11.451649201246862,-11.668566887859521,-11.038501729594204,-11.282238972494017,-11.433807061876196,-11.316840904653922,-11.54869640045333,-11.434571116223811,-11.218768594928012,-11.505893464487501,-11.33390152335306,-11.474514942437448,,,,,
1,1.0,4.0,350,-11.54718394709288,-11.702489717471384,-11.582695993927029,-11.589286865546859,-11.635076877610363,-11.751529967251658,-11.723370909153958,-11.326298219974452,-11.6670408393968,-11.694458727320923,-11.33251786614311,-11.301723302373151,-11.015612578061718,-10.84579624892839,,,,,,
1,1.0,4.0,400,-11.010604064165364,-11.426738251196236,-11.512280117768347,-11.53220317838411,-11.384017903613726,-11.365680234284723,-11.065820937919879,-11.380773539485917,-11.571079615976661,-11.665011641611226,-11.26793943287038,-11.168081918025,-11.305882935920906,,,,,,,
1,1.0,4.0,450,-11.77755049816534,-11.897047892982352,-11.64166699853761,-11.407927915051154,-11.88917217085291,-11.726239031446903,-11.226855747386033,-11.651342674323951,-11.474297109586503,-11.56611670113677,-11.173132485843231,-11.035106690142058,,,,,,,,
1,1.0,4.0,500,-11.624369558688503,-11.568477413529122,-11.022132754900758,-11.008575497961829,-11.31644160948336,-11.369139580149314,-11.680155331094758,-11.53791983646079,-11.37058719404962,-11.22707764034521,-11.349303688612936,,,,,,,,,
1,1.0,4.0,550,-10.927582562817198,-10.711439710095263,-10.683337005391673,-10.828381501697418,-10.763817229080184,-11.347528083312461,-11.508069631288146,-11.348241799124002,-11.561123754826399,-11.307626698809015,,,,,,,,,,
1,1.0,4.0,600,-10.982605570212327,-10.638557361068381,-11.207344056116494,-11.030335893891428,-11.64546103890729,-11.205610460831036,-11.648905264258024,-11.461458651279983,-11.695979516792512,,,,,,,,,,,
1,1.0,4.0,650,-11.475437623881016,-11.406413143159952,-11.337815608279888,-11.474848736779183,-11.710816095803155,-11.619213238376615,-11.761742230177006,-11.694201220259266,,,,,,,,,,,,
1,1.0,4.0,700,-11.551394918791367,-11.309856228192528,-11.633622846048697,-11.689334180050217,-11.785383253871219,-11.79552214407575,-11.787510316481109,,,,,,,,,,,,,
1,1.0,4.0,750,-11.29225248391489,-11.75918597090795,-11.449743488825716,-11.67931291465552,-11.777856194042052,-11.607817488235614,,,,,,,,,,,,,,
1,1.0,4.0,800,-11.618739913728295,-11.365881080354924,-11.651921701688579,-11.796669779846594,-11.79139362649936,,,,,,,,,,,,,,,
1,1.0,4.0,850,-11.80434712564416,-11.750669122750466,-11.646955417065934,-11.521397317713271,,,,,,,,,,,,,,,,
1,1.0,4.0,900,-11.643141808394883,-11.478183725627302,-11.640511142669514,,,,,,,,,,,,,,,,,
1,1.0,4.0,950,-11.418149002713008,-11.59902508555712,,,,,,,,,,,,,,,,,,
1,1.0,4.0,1000,-11.582116648760131,,,,,,,,,,,,,,,,,,,
1,1.0,5.0,50,-11.320118218146494,-11.505672797344227,-11.529716678832365,-11.214716723602256,-11.469685981961527,-11.620622460233303,-11.192651290341885,-11.40419461989929,-11.525621797800811,-11.708667851197507,-11.535415955840882,-11.447909516027574,-11.357709864412133,-11.314059143598595,-11.122263829832498,-11.276848169630508,-11.536006431198727,-11.627401446698595,-11.690050445948595,-11.622423028901036
1,1.0,5.0,100,-11.202075637313495,-11.429843929876819,-11.44855810791131,-11.166805704314333,-11.311656580417372,-11.397182940848401,-11.114658419516598,-11.451369457190152,-10.969466751550256,-11.187490344341319,-10.950225675549552,-11.292150583274147,-11.465636366368244,-11.097063542956922,-11.522845924561148,-11.283062378830683,-11.213986656700973,-11.375599322793583,-10.964571412227773,
1,1.0,5.0,150,-11.221511544365544,-11.503958507725065,-11.558119372878428,-11.40382974747143,-11.36021350180249,-11.178396848631834,-11.03238777529375,-11.49593696678259,-11.48160392680855,-11.629302944545854,-11.16532980144077,-11.248557150226045,-11.23184128358158,-11.516900845219144,-11.320034271005062,-11.50170724759417,-11.44536306405359,-11.290780053709309,,
1,1.0,5.0,200,-11.644634303529982,-11.619904698314537,-11.736376375059846,-11.78492471095548,-11.64342296538162,-11.518332431488298,-11.654596872741102,-11.46537445842748,-11.717996717624745,-11.498305771275229,-11.625682505528527,-11.760336536408456,-11.404676329787806,-11.271798785155749,-11.443185360620538,-11.405152079205704,-11.442925979925405,,,
1,1.0,5.0,250,-11.598472335564677,-11.846435562441645,-11.649245716901744,-11.762826902409659,-11.77581949062934,-11.506251411569872,-11.539623991121495,-11.808415770451756,-11.863365180661038,-11.57600167409947,-11.653268767273252,-11.721962143125396,-11.802580858314803,-11.895212766595357,-11.773364811423088,-11.223346133765752,,,,
1,1.0,5.0,300,-11.609091798736035,-11.800816977011173,-11.788693961503188,-11.611357874715145,-11.701887310144265,-11.482169495412991,-11.776169415919389,-11.424738078815913,-11.469474741924218,-11.498444592507406,-11.75041830111575,-11.566444636664249,-11.934633992269907,-11.854169105555984,-11.847145412993491,,,,,
1,1.0,5.0,350,-11.37674311489906,-11.906483458899194,-11.59572517513994,-11.539260784431232,-11.484469972765918,-11.674140095319084,-11.628271718223115,-11.756762433869088,-11.46617244119514,-11.790107277295089,-11.843530382121402,-11.745480237239518,-11.600823272657733,-11.417663707258537,,,,,,
1,1.0,5.0,400,-11.636453647083833,-11.894736072795892,-11.839602709645167,-11.42966613406908,-11.808195442888284,-11.554639720644495,-11.83597388867663,-11.6850484866326,-11.764486355897525,-11.827078859269687,-11.776304942154523,-11.87352511530507,-11.71665350680907,,,,,,,
1,1.0,5.0,450,-11.624958869931767,-11.638832633654054,-11.866516801248887,-11.821338098929916,-11.73200164344493,-11.64940471883456,-11.685305601220664,-11.773492687901792,-11.571698197442498,-11.729996422247588,-11.852392022359526,-11.689414725315215,,,,,,,,
1,1.0,5.0,500,-11.910351068871252,-11.91434371037125,-11.942219937418157,-11.866022352443089,-11.755277600023764,-11.845712960166628,-11.73345089590636,-11.531496749348914,-11.755202627308638,-11.634491983996258,-11.759474102261057,,,,,,,,,
1,1.0,5.0,550,-11.738879236120344,-11.70661555533285,-11.74949723166888,-11.92335861615862,-11.764561961468711,-11.41656838964356,-11.385847879587137,-11.427515344882162,-11.562062555237695,-11.417708657349795,,,,,,,,,,
1,1.0,5.0,600,-11.752480854023549,-11.544280191284408,-11.49138476621954,-11.439818119518552,-11.501206497254804,-11.422579032059707,-11.401687383009227,-11.408759021611516,-11.459659054450752,,,,,,,,,,,
1,1.0,5.0,650,-11.41385135122679,-11.461889323381957,-11.748615351809285,-11.770451773446192,-11.710970142590925,-11.799704321035858,-11.902007518434775,-11.75032010721155,,,,,,,,,,,,
1,1.0,5.0,700,-11.274712712772159,-11.68742595290625,-11.756875452806144,-11.707432033486784,-11.727974054202978,-11.80539155909883,-11.665594062391921,,,,,,,,,,,,,
1,1.0,5.0,750,-11.413820109708173,-11.80623677257238,-11.499179332566966,-11.646568011400564,-11.697055274464743,-11.742411182895845,,,,,,,,,,,,,,
1,1.0,5.0,800,-11.611481673919716,-11.625372306203735,-11.625337329194691,-11.723902048011402,-11.82057414417592,,,,,,,,,,,,,,,
1,1.0,5.0,850,-11.85483718065452,-11.771893682920734,-11.670731732249147,-11.753382413553297,,,,,,,,,,,,,,,,
1,1.0,5.0,900,-11.769258626522896,-11.75394628051653,-11.769980504630492,,,,,,,,,,,,,,,,,
1,1.0,5.0,950,-11.465231843475634,-11.55130724819808,,,,,,,,,,,,,,,,,,
