fid,iid,rep,vbs_regret,switch_budget,selected_algorithm,achieved_regret,static_B50,static_B100,static_B150,static_B200,static_B250,static_B300,static_B350,static_B400,static_B450,static_B500,static_B550,static_B600,static_B650,static_B700,static_B750,static_B800,static_B850,static_B900,static_B950,no_switch
1,7,0,9.223985177921405,400,BFGS,15.084309130022913,9.878847453148188,9.878847453148188,9.878847453148188,9.878847453148188,9.878847453148188,13.883919322967664,9.878847453148188,15.084309130022913,9.878847453148188,9.878847453148188,9.878847453148188,11.780300932699005,9.878847453148188,9.878847453148188,9.878847453148188,9.526438849526048,10.541051089174386,10.067473826859151,10.640488519654792,9.878847453148188
1,7,1,0.0196784349109039,350,Non-elitist,0.020290609376926,0.020290609376926,0.020290609376926,0.020290609376926,0.020290609376926,16.8165167476354,4.135277466404003,0.020290609376926,0.020290609376926,10.38207954046574,8.465173759578768,0.020290609376926,0.020290609376926,0.020290609376926,0.020290609376926,0.020290609376926,0.0214619150517997,0.0196784349109039,0.020290609376926,0.020290609376926,0.020290609376926
1,7,2,9.200377269626088,400,Non-elitist,10.287037645980329,10.287037645980329,10.287037645980329,10.287037645980329,10.287037645980329,13.20389348283315,10.287037645980329,10.287037645980329,10.287037645980329,10.287037645980329,10.287037645980329,10.287037645980329,10.265396437602558,10.622744934943915,10.287037645980329,10.287037645980329,10.815009142462811,9.200377269626088,11.389228766437816,10.291257484626604,10.287037645980329
1,7,3,0.0181881825270819,400,Non-elitist,0.0226402572544238,0.0226402572544238,0.0226402572544238,0.0226402572544238,0.0226402572544238,0.0226402572544238,7.199753459293561,0.0226402572544238,0.0226402572544238,8.483457700673776,0.0226402572544238,0.0226402572544238,0.0210700613292636,0.0226402572544238,0.0226402572544238,0.0226402572544238,0.0220653711448348,0.0235215618697343,0.0218179680731697,0.0226402572544238,0.0226402572544238
1,7,4,0.0217947704442023,400,Non-elitist,0.0242661193848373,10.945131481563292,0.0242661193848373,0.0242661193848373,0.0242661193848373,17.704155290750112,0.0242661193848373,0.0242661193848373,0.0242661193848373,0.0242661193848373,0.0242661193848373,0.0242661193848373,0.0242661193848373,0.0242661193848373,9.655833175703394,9.551596733213154,6.080076331341492,6.924824370952229,0.0251060043252658,0.0242661193848373,0.0242661193848373
1,7,5,0.0171164325076903,400,Non-elitist,0.0216182363907351,0.0216182363907351,0.0216182363907351,0.0216182363907351,0.0216182363907351,0.0216182363907351,10.297193215282194,8.946276074295035,0.0216182363907351,0.0216182363907351,0.0216165095640621,0.0216182363907351,0.0216182363907351,0.0216182363907351,0.0216182363907351,0.0216182363907351,0.0202011997222356,0.0214456403606779,0.0180425361183,0.0216182363907351,0.0216182363907351
1,7,6,0.0196003871948875,450,Elitist,0.021871614155435,0.0260206847863041,0.0260206847863041,0.0228219296664021,0.0260206847863041,0.0260206847863041,0.0260206847863041,0.0260206847863041,0.0260206847863041,0.021871614155435,0.0260206847863041,0.0203004086102428,0.0221940771301175,0.0260206847863041,0.0260206847863041,0.0260206847863041,0.0226310254246162,0.0266800657929317,0.0240816964385096,0.0257278016535524,0.0260206847863041
1,7,7,0.0182035030939458,400,Non-elitist,0.0203074663024926,0.0203074663024926,0.0203074663024926,0.0203074663024926,0.0203074663024926,0.0203074663024926,12.403573567225951,11.628007147397284,0.0203074663024926,10.261983856296744,0.0197682433535296,0.0203074663024926,0.0188804017626315,0.0192123869451918,0.0213729467506923,0.0201058755887354,0.0224552831650322,0.0203074611414596,0.0187872586356221,0.0203074663024926,0.0203074663024926
1,7,8,0.0183044447256851,400,BFGS,14.012318832677725,0.0243097292661063,0.0243097292661063,0.0243097292661063,0.0243097292661063,0.0243097292661063,11.43237132511437,11.966303916253956,14.012318832677725,9.054068961910865,0.0243097292661063,0.0243097292661063,0.0204026426850122,0.0243097292661063,0.0220744432211403,0.0254685882959833,0.0263311081666384,0.027564902931509,0.0236852677342766,0.0250955023265775,0.0243097292661063
1,7,9,8.138774453125494,400,Non-elitist,11.036758971929872,11.036758971929872,11.036758971929872,11.036758971929872,11.036758971929872,17.41524255561551,14.665220571733729,11.036758971929872,11.036758971929872,14.049532314339109,13.231627104736184,13.825123925771017,13.926712864824871,8.138774453125494,12.712691399084395,11.932709776850622,10.371932678363242,11.03675669743378,9.10234387874839,11.036758971929872,11.036758971929872
