fid,iid,rep,algorithm,budget,precision
1,1,1,DE,250,531.5256254337
1,1,1,Elitist,250,531.4627501621001
1,1,1,MLSL,250,531.5747448569
1,1,1,Non-elitist,250,531.4709486035001
1,1,1,PSO,250,531.69708038615
1,1,1,BFGS,300,531.4668999524
1,1,1,DE,300,531.4920482515
1,1,1,Elitist,300,531.468002234
1,1,1,MLSL,300,531.5094232249
1,1,1,Non-elitist,300,531.4709486035001
1,1,1,PSO,300,531.5580466761
1,1,1,BFGS,350,531.4711381416
1,1,1,DE,350,531.4785176981001
1,1,1,Elitist,350,531.4708698382
1,1,1,MLSL,350,531.4841176141
1,1,1,Non-elitist,350,531.4709486035001
1,1,1,PSO,350,531.5012077288501
1,1,1,BFGS,400,531.4708658633
1,1,1,DE,400,531.4715753934
1,1,1,Elitist,400,531.4709607056
1,1,1,MLSL,400,531.4721621412
1,1,1,Non-elitist,400,531.4709486035001
1,1,1,PSO,400,531.4737992274501
1,1,1,BFGS,450,531.4709521842
1,1,1,DE,450,531.471104307
1,1,1,Elitist,450,531.4709522752
1,1,1,MLSL,450,531.4712306458
1,1,1,Non-elitist,450,531.4709486035001
1,1,1,PSO,450,531.4715329985501
1,1,1,BFGS,500,531.4709509449001
1,1,1,DE,500,531.4709647292001
1,1,1,Elitist,500,531.4709480924001
1,1,1,MLSL,500,531.47097583
1,1,1,Non-elitist,500,531.4709486035001
1,1,1,PSO,500,531.4710015665501
1,1,1,BFGS,550,531.4709486571
1,1,1,DE,550,531.4709500491001
1,1,1,Elitist,550,531.4709486197
1,1,1,MLSL,550,531.4709513155001
1,1,1,Non-elitist,550,531.4709486035001
1,1,1,PSO,550,531.47095318
1,1,1,BFGS,600,531.4709485965001
1,1,1,DE,600,531.4709487303
1,1,1,Elitist,600,531.4709486052001
1,1,1,MLSL,600,531.4709488501001
1,1,1,Non-elitist,600,531.4709486035001
1,1,1,PSO,600,531.4709489915501
1,1,1,BFGS,650,531.470948601
1,1,1,DE,650,531.4709486256
1,1,1,Elitist,650,531.4709485988001
1,1,1,MLSL,650,531.4709486482001
1,1,1,Non-elitist,650,531.4709486035001
1,1,1,PSO,650,531.4709486619001
1,1,1,BFGS,700,531.4709486046
1,1,1,DE,700,531.4709486172001
1,1,1,Elitist,700,531.4709486025001
1,1,1,MLSL,700,531.4709486282001
1,1,1,Non-elitist,700,531.4709486035001
1,1,1,PSO,700,531.4709486305501
1,1,1,BFGS,750,531.4709486035001
1,1,1,DE,750,531.4709486035001
1,1,1,Elitist,750,531.4709486035001
1,1,1,MLSL,750,531.4709486035001
1,1,1,Non-elitist,750,531.4709486035001
1,1,1,PSO,750,531.4709486035001
1,1,1,BFGS,800,531.4709486035001
1,1,1,DE,800,531.4709486035001
1,1,1,Elitist,800,531.4709486035001
1,1,1,MLSL,800,531.4709486035001
1,1,1,Non-elitist,800,531.4709486035001
1,1,1,PSO,800,531.4709486035001
1,1,1,BFGS,850,531.4709486035001
1,1,1,DE,850,531.4709486035001
1,1,1,Elitist,850,531.4709486035001
1,1,1,MLSL,850,531.4709486035001
1,1,1,Non-elitist,850,531.4709486035001
1,1,1,PSO,850,531.4709486035001
1,1,1,BFGS,900,531.4709486035001
1,1,1,DE,900,531.4709486035001
1,1,1,Elitist,900,531.4709486035001
1,1,1,MLSL,900,531.4709486035001
1,1,1,Non-elitist,900,531.4709486035001
1,1,1,PSO,900,531.4709486035001
1,1,1,BFGS,950,531.4709486035001
1,1,1,DE,950,531.4709486035001
1,1,1,Elitist,950,531.4709486035001
1,1,1,MLSL,950,531.4709486035001
1,1,1,Non-elitist,950,531.4709486035001
1,1,1,PSO,950,531.4709486035001
1,1,1,BFGS,1000,531.4709486035001
1,1,1,DE,1000,531.4709486035001
1,1,1,Elitist,1000,531.4709486035001
1,1,1,MLSL,1000,531.4709486035001
1,1,1,Non-elitist,1000,531.4709486035001
1,1,1,PSO,1000,531.4709486035001
1,1,2,BFGS,50,299.18192187050005
1,1,2,DE,50,444.2531831084998
1,1,2,Elitist,50,328.43656566090004
1,1,2,MLSL,50,783.2879653178998
1,1,2,Non-elitist,50,384.0948456572
1,1,2,PSO,50,397.76897976315
1,1,2,BFGS,100,363.0288774371
1,1,2,DE,100,455.4090218105
1,1,2,Elitist,100,383.1409371732
1,1,2,MLSL,100,640.5898571988998
1,1,2,Non-elitist,100,384.0948456572
1,1,2,PSO,100,415.2133457833
1,1,2,BFGS,150,379.3897008521
1,1,2,DE,150,387.3853257692
1,1,2,Elitist,150,384.3095995785
1,1,2,MLSL,150,420.1150073911
1,1,2,Non-elitist,150,384.0948456572
1,1,2,PSO,150,391.2610360669
1,1,2,BFGS,200,383.5283260385
1,1,2,DE,200,383.9718681472
1,1,2,Elitist,200,384.2334812726001
1,1,2,MLSL,200,388.5640062718
1,1,2,Non-elitist,200,384.0948456572
1,1,2,PSO,200,385.921935837
1,1,2,BFGS,250,384.0100866159
1,1,2,DE,250,384.2740917983001
1,1,2,Elitist,250,384.06115617910007
1,1,2,MLSL,250,384.5249199641
1,1,2,Non-elitist,250,384.0948456572
1,1,2,PSO,250,384.9581072063
1,1,2,BFGS,300,384.0839497486001
1,1,2,DE,300,384.1831276489
1,1,2,Elitist,300,384.1034904692
1,1,2,MLSL,300,384.2619129863
1,1,2,Non-elitist,300,384.0948456572
1,1,2,PSO,300,384.4115803046501
1,1,2,BFGS,350,384.0918797893
1,1,2,DE,350,384.10988470270007
1,1,2,Elitist,350,384.0939449188001
1,1,2,MLSL,350,384.1240002657
1,1,2,Non-elitist,350,384.0948456572
1,1,2,PSO,350,384.15491992230005
1,1,2,BFGS,400,384.0950394381
1,1,2,DE,400,384.10182141100006
1,1,2,Elitist,400,384.0952119215
1,1,2,MLSL,400,384.1071118362
1,1,2,Non-elitist,400,384.0948456572
1,1,2,PSO,400,384.1191796472
1,1,2,BFGS,450,384.0949115246
1,1,2,DE,450,384.0959307058
1,1,2,Elitist,450,384.0948259072
1,1,2,MLSL,450,384.0967522084
1,1,2,Non-elitist,450,384.0948456572
1,1,2,PSO,450,384.09876372775
1,1,2,BFGS,500,384.09484145270005
1,1,2,DE,500,384.0949239379
1,1,2,Elitist,500,384.0948451271001
1,1,2,MLSL,500,384.0949925313001
1,1,2,Non-elitist,500,384.0948456572
1,1,2,PSO,500,384.0951315660001
1,1,2,BFGS,550,384.09484383460006
1,1,2,DE,550,384.09485548840007
1,1,2,Elitist,550,384.0948437854001
1,1,2,MLSL,550,384.0948652052001
1,1,2,Non-elitist,550,384.0948456572
1,1,2,PSO,550,384.09488226830007
1,1,2,BFGS,600,384.09484691640006
1,1,2,DE,600,384.09485589420007
1,1,2,Elitist,600,384.09484555130007
1,1,2,MLSL,600,384.09486303400007
1,1,2,Non-elitist,600,384.0948456572
1,1,2,PSO,600,384.09487267585007
1,1,2,BFGS,650,384.0948457589501
1,1,2,DE,650,384.09484629880006
1,1,2,Elitist,650,384.09484559440006
1,1,2,MLSL,650,384.09484679020005
1,1,2,Non-elitist,650,384.0948456572
1,1,2,PSO,650,384.09484714780007
1,1,2,BFGS,700,384.0948456870001
1,1,2,DE,700,384.0948458214
1,1,2,Elitist,700,384.0948456522
1,1,2,MLSL,700,384.09484593100007
1,1,2,Non-elitist,700,384.0948456572
1,1,2,PSO,700,384.0948459616501
1,1,2,BFGS,750,384.09484566290007
1,1,2,DE,750,384.0948456875001
1,1,2,Elitist,750,384.09484565840006
1,1,2,MLSL,750,384.0948457034
1,1,2,Non-elitist,750,384.0948456572
1,1,2,PSO,750,384.0948457034
1,1,2,BFGS,800,384.0948456572
1,1,2,DE,800,384.0948456572
1,1,2,Elitist,800,384.0948456572
1,1,2,MLSL,800,384.0948456572
1,1,2,Non-elitist,800,384.0948456572
1,1,2,PSO,800,384.0948456572
1,1,2,BFGS,850,384.0948456572
1,1,2,DE,850,384.0948456572
1,1,2,Elitist,850,384.0948456572
1,1,2,MLSL,850,384.0948456572
1,1,2,Non-elitist,850,384.0948456572
1,1,2,PSO,850,384.0948456572
1,1,2,BFGS,900,384.0948456572
1,1,2,DE,900,384.0948456572
1,1,2,Elitist,900,384.0948456572
1,1,2,MLSL,900,384.0948456572
1,1,2,Non-elitist,900,384.0948456572
1,1,2,PSO,900,384.0948456572
1,1,2,BFGS,950,384.0948456572
1,1,2,DE,950,384.0948456572
1,1,2,Elitist,950,384.0948456572
1,1,2,MLSL,950,384.0948456572
1,1,2,Non-elitist,950,384.0948456572
1,1,2,PSO,950,384.0948456572
1,1,2,BFGS,1000,384.0948456572
1,1,2,DE,1000,384.0948456572
1,1,2,Elitist,1000,384.0948456572
1,1,2,MLSL,1000,384.0948456572
1,1,2,Non-elitist,1000,384.0948456572
1,1,2,PSO,1000,384.0948456572
1,1,3,BFGS,50,253.94769065995
1,1,3,DE,50,265.85466763514995
1,1,3,Elitist,50,263.97238639855004
1,1,3,MLSL,50,304.49986734425
1,1,3,Non-elitist,50,268.74789275905005
1,1,3,PSO,50,278.5132305885001
1,1,3,BFGS,100,263.16708918155
1,1,3,DE,100,272.0458308075501
1,1,3,Elitist,100,266.77035505665003
1,1,3,MLSL,100,311.45274061825
1,1,3,Non-elitist,100,268.74789275905005
1,1,3,PSO,100,283.71739302965005
1,1,3,BFGS,150,268.05512609855003
1,1,3,DE,150,270.24179667835006
1,1,3,Elitist,150,268.92597296545
1,1,3,MLSL,150,278.29383202685005
1,1,3,Non-elitist,150,268.74789275905005
1,1,3,PSO,150,273.68002420225
1,1,3,BFGS,200,268.71513535355007
1,1,3,DE,200,269.31399525055
1,1,3,Elitist,200,268.69957065835007
1,1,3,MLSL,200,271.45229245455005
1,1,3,Non-elitist,200,268.74789275905005
1,1,3,PSO,200,270.66184361385007
1,1,3,BFGS,250,268.74215687275
1,1,3,DE,250,268.94977885055
1,1,3,Elitist,250,268.74144951605007
1,1,3,MLSL,250,269.09426934175
1,1,3,Non-elitist,250,268.74789275905005
1,1,3,PSO,250,269.42873349665
1,1,3,BFGS,300,268.74574160735
1,1,3,DE,300,268.76503317695
1,1,3,Elitist,300,268.74796319545
1,1,3,MLSL,300,268.77926347955
1,1,3,Non-elitist,300,268.74789275905005
1,1,3,PSO,300,268.81967785165
1,1,3,BFGS,350,268.74772035135
1,1,3,DE,350,268.75479798595006
1,1,3,Elitist,350,268.74783445925004
1,1,3,MLSL,350,268.76034270795003
1,1,3,Non-elitist,350,268.74789275905005
1,1,3,PSO,350,268.77671409615004
1,1,3,BFGS,400,268.74779105555
1,1,3,DE,400,268.74879460375
1,1,3,Elitist,400,268.74794634705006
1,1,3,MLSL,400,268.74960676175
1,1,3,Non-elitist,400,268.74789275905005
1,1,3,PSO,400,268.75193826000003
1,1,3,BFGS,450,268.74789285435
1,1,3,DE,450,268.74800254575
1,1,3,Elitist,450,268.74789023145
1,1,3,MLSL,450,268.74808716075
1,1,3,Non-elitist,450,268.74789275905005
1,1,3,PSO,450,268.74830913930003
1,1,3,BFGS,500,268.74788846915004
1,1,3,DE,500,268.74789917315
1,1,3,Elitist,500,268.74789070315006
1,1,3,MLSL,500,268.74790822235
1,1,3,Non-elitist,500,268.74789275905005
1,1,3,PSO,500,268.74792628010005
1,1,3,BFGS,550,268.74789253995004
1,1,3,DE,550,268.74790244535006
1,1,3,Elitist,550,268.74789141265006
1,1,3,MLSL,550,268.74791074435007
1,1,3,Non-elitist,550,268.74789275905005
1,1,3,PSO,550,268.7479244821
1,1,3,BFGS,600,268.74789261715006
1,1,3,DE,600,268.74789565975004
1,1,3,Elitist,600,268.74789276015
1,1,3,MLSL,600,268.74789784715006
1,1,3,Non-elitist,600,268.74789275905005
1,1,3,PSO,600,268.74790126475006
1,1,3,BFGS,650,268.74789278395
1,1,3,DE,650,268.74789331915
1,1,3,Elitist,650,268.74789278745004
1,1,3,MLSL,650,268.74789378495007
1,1,3,Non-elitist,650,268.74789275905005
1,1,3,PSO,650,268.74789409960005
1,1,3,BFGS,700,268.74789275655
1,1,3,DE,700,268.74789278235005
1,1,3,Elitist,700,268.74789276115
1,1,3,MLSL,700,268.74789280195006
1,1,3,Non-elitist,700,268.74789275905005
1,1,3,PSO,700,268.74789280785006
1,1,3,BFGS,750,268.74789276615
1,1,3,DE,750,268.74789279075003
1,1,3,Elitist,750,268.74789275905005
1,1,3,MLSL,750,268.74789280785006
1,1,3,Non-elitist,750,268.74789275905005
1,1,3,PSO,750,268.74789280785006
1,1,3,BFGS,800,268.74789275905005
1,1,3,DE,800,268.74789275905005
1,1,3,Elitist,800,268.74789275905005
1,1,3,MLSL,800,268.74789275905005
1,1,3,Non-elitist,800,268.74789275905005
1,1,3,PSO,800,268.74789275905005
1,1,3,BFGS,850,268.74789275905005
1,1,3,DE,850,268.74789275905005
1,1,3,Elitist,850,268.74789275905005
1,1,3,MLSL,850,268.74789275905005
1,1,3,Non-elitist,850,268.74789275905005
1,1,3,PSO,850,268.74789275905005
1,1,3,BFGS,900,268.74789275905005
1,1,3,DE,900,268.74789275905005
1,1,3,Elitist,900,268.74789275905005
1,1,3,MLSL,900,268.74789275905005
1,1,3,Non-elitist,900,268.74789275905005
1,1,3,PSO,900,268.74789275905005
1,1,3,BFGS,950,268.74789275905005
1,1,3,DE,950,268.74789275905005
1,1,3,Elitist,950,268.74789275905005
1,1,3,MLSL,950,268.74789275905005
1,1,3,Non-elitist,950,268.74789275905005
1,1,3,PSO,950,268.74789275905005
1,1,3,BFGS,1000,268.74789275905005
1,1,3,DE,1000,268.74789275905005
1,1,3,Elitist,1000,268.74789275905005
1,1,3,MLSL,1000,268.74789275905005
1,1,3,Non-elitist,1000,268.74789275905005
1,1,3,PSO,1000,268.74789275905005
1,1,4,BFGS,50,223.7158437913
1,1,4,DE,50,417.4564793635
1,1,4,Elitist,50,288.4107650618
1,1,4,MLSL,50,766.5510233056998
1,1,4,Non-elitist,50,258.23338782100006
1,1,4,PSO,50,354.0437741560001
1,1,4,BFGS,100,253.7418609859
1,1,4,DE,100,260.93086586250007
1,1,4,Elitist,100,259.7433730268001
1,1,4,MLSL,100,288.9485636616001
1,1,4,Non-elitist,100,258.23338782100006
1,1,4,PSO,100,267.19990653925004
1,1,4,BFGS,150,257.9347505606001
1,1,4,DE,150,259.3793465587001
1,1,4,Elitist,150,258.0963732526001
1,1,4,MLSL,150,267.08774094370006
1,1,4,Non-elitist,150,258.23338782100006
1,1,4,PSO,150,262.8271785336001
1,1,4,BFGS,200,258.13574818820007
1,1,4,DE,200,258.4243494242001
1,1,4,Elitist,200,258.301163802
1,1,4,MLSL,200,260.1996370780001
1,1,4,Non-elitist,200,258.23338782100006
1,1,4,PSO,200,259.3097570083001
1,1,4,BFGS,250,258.2280191386001
1,1,4,DE,250,258.4195370047001
1,1,4,Elitist,250,258.2493153902
1,1,4,MLSL,250,258.5606703023001
1,1,4,Non-elitist,250,258.23338782100006
1,1,4,PSO,250,258.8192960810001
1,1,4,BFGS,300,258.2314880658001
1,1,4,DE,300,258.23544564190007
1,1,4,Elitist,300,258.23243735130006
1,1,4,MLSL,300,258.2383644291001
1,1,4,Non-elitist,300,258.23338782100006
1,1,4,PSO,300,258.2488273774001
1,1,4,BFGS,350,258.2328290544001
1,1,4,DE,350,258.2367989329001
1,1,4,Elitist,350,258.23319028200007
1,1,4,MLSL,350,258.2395129887001
1,1,4,Non-elitist,350,258.23338782100006
1,1,4,PSO,350,258.2493950383501
1,1,4,BFGS,400,258.23329398080006
1,1,4,DE,400,258.2343315706001
1,1,4,Elitist,400,258.2333119528001
1,1,4,MLSL,400,258.2351538174001
1,1,4,Non-elitist,400,258.23338782100006
1,1,4,PSO,400,258.2375948777001
1,1,4,BFGS,450,258.2333798293001
1,1,4,DE,450,258.2335465821001
1,1,4,Elitist,450,258.23338681660005
1,1,4,MLSL,450,258.23368146470006
1,1,4,Non-elitist,450,258.23338782100006
1,1,4,PSO,450,258.23401346180003
1,1,4,BFGS,500,258.2333915436001
1,1,4,DE,500,258.2334452931001
1,1,4,Elitist,500,258.23339248510007
1,1,4,MLSL,500,258.23348583590007
1,1,4,Non-elitist,500,258.23338782100006
1,1,4,PSO,500,258.23358248360006
1,1,4,BFGS,550,258.23338621540006
1,1,4,DE,550,258.2333897778001
1,1,4,Elitist,550,258.2333864773001
1,1,4,MLSL,550,258.23339296180006
1,1,4,Non-elitist,550,258.23338782100006
1,1,4,PSO,550,258.2333977955501
1,1,4,BFGS,600,258.2333874074001
1,1,4,DE,600,258.23339084840006
1,1,4,Elitist,600,258.2333876135001
1,1,4,MLSL,600,258.23339374400007
1,1,4,Non-elitist,600,258.23338782100006
1,1,4,PSO,600,258.23339709260006
1,1,4,BFGS,650,258.2333878683001
1,1,4,DE,650,258.2333887017001
1,1,4,Elitist,650,258.23338789370007
1,1,4,MLSL,650,258.23338939190006
1,1,4,Non-elitist,650,258.23338782100006
1,1,4,PSO,650,258.23338991775006
1,1,4,BFGS,700,258.2333878625001
1,1,4,DE,700,258.23338810790005
1,1,4,Elitist,700,258.2333877992001
1,1,4,MLSL,700,258.23338832330006
1,1,4,Non-elitist,700,258.23338782100006
1,1,4,PSO,700,258.2333883882501
1,1,4,BFGS,750,258.2333878218001
1,1,4,DE,750,258.2333878464001
1,1,4,Elitist,750,258.23338781830006
1,1,4,MLSL,750,258.23338786350007
1,1,4,Non-elitist,750,258.23338782100006
1,1,4,PSO,750,258.23338786350007
1,1,4,BFGS,800,258.23338782100006
1,1,4,DE,800,258.23338782100006
1,1,4,Elitist,800,258.23338782100006
1,1,4,MLSL,800,258.23338782100006
1,1,4,Non-elitist,800,258.23338782100006
1,1,4,PSO,800,258.23338782100006
1,1,4,BFGS,850,258.23338782100006
1,1,4,DE,850,258.23338782100006
1,1,4,Elitist,850,258.23338782100006
1,1,4,MLSL,850,258.23338782100006
1,1,4,Non-elitist,850,258.23338782100006
1,1,4,PSO,850,258.23338782100006
1,1,4,BFGS,900,258.23338782100006
1,1,4,DE,900,258.23338782100006
1,1,4,Elitist,900,258.23338782100006
1,1,4,MLSL,900,258.23338782100006
1,1,4,Non-elitist,900,258.23338782100006
1,1,4,PSO,900,258.23338782100006
1,1,4,BFGS,950,258.23338782100006
1,1,4,DE,950,258.23338782100006
1,1,4,Elitist,950,258.23338782100006
1,1,4,MLSL,950,258.23338782100006
1,1,4,Non-elitist,950,258.23338782100006
1,1,4,PSO,950,258.23338782100006
1,1,4,BFGS,1000,258.23338782100006
1,1,4,DE,1000,258.23338782100006
1,1,4,Elitist,1000,258.23338782100006
1,1,4,MLSL,1000,258.23338782100006
1,1,4,Non-elitist,1000,258.23338782100006
1,1,4,PSO,1000,258.23338782100006
1,1,5,BFGS,50,132.52318785044997
1,1,5,DE,50,153.47371483975
1,1,5,Elitist,50,149.02177007784996
1,1,5,MLSL,50,241.14015492575004
1,1,5,Non-elitist,50,141.91781121465
1,1,5,PSO,50,181.7874172428
1,1,5,BFGS,100,139.43344380834998
1,1,5,DE,100,140.14550733885
1,1,5,Elitist,100,141.62001678764997
1,1,5,MLSL,100,149.64521878494998
1,1,5,Non-elitist,100,141.91781121465
1,1,5,PSO,100,145.98568156660002
1,1,5,BFGS,150,141.38125854335
1,1,5,DE,150,142.41020338635
1,1,5,Elitist,150,142.03360009735002
1,1,5,MLSL,150,151.45384921944998
1,1,5,Non-elitist,150,141.91781121465
1,1,5,PSO,150,146.96153744929998
1,1,5,BFGS,200,141.85087374764998
1,1,5,DE,200,142.14272636495
1,1,5,Elitist,200,142.03083880794998
1,1,5,MLSL,200,143.09687762905
1,1,5,Non-elitist,200,141.91781121465
1,1,5,PSO,200,143.7643869813
1,1,5,BFGS,250,141.91546458965
1,1,5,DE,250,142.02523468075
1,1,5,Elitist,250,141.91904385795002
1,1,5,MLSL,250,142.11276750935
1,1,5,Non-elitist,250,141.91781121465
1,1,5,PSO,250,142.27091689749997
1,1,5,BFGS,300,141.91735359864998
1,1,5,DE,300,141.92623340884998
1,1,5,Elitist,300,141.91837419364998
1,1,5,MLSL,300,141.93245252465002
1,1,5,Non-elitist,300,141.91781121465
1,1,5,PSO,300,141.95444775715
1,1,5,BFGS,350,141.91811554065
1,1,5,DE,350,141.92103185795
1,1,5,Elitist,350,141.91779319934997
1,1,5,MLSL,350,141.92312678635
1,1,5,Non-elitist,350,141.91781121465
1,1,5,PSO,350,141.93019811464998
1,1,5,BFGS,400,141.91781565635
1,1,5,DE,400,141.91796061275
1,1,5,Elitist,400,141.91781192655
1,1,5,MLSL,400,141.91808393595
1,1,5,Non-elitist,400,141.91781121465
1,1,5,PSO,400,141.9184364695
1,1,5,BFGS,450,141.91780826405
1,1,5,DE,450,141.91782375595
1,1,5,Elitist,450,141.91780831654998
1,1,5,MLSL,450,141.91783658674998
1,1,5,Non-elitist,450,141.91781121465
1,1,5,PSO,450,141.9178678955
1,1,5,BFGS,500,141.91781027334997
1,1,5,DE,500,141.91781383974998
1,1,5,Elitist,500,141.91780994144997
1,1,5,MLSL,500,141.91781671674997
1,1,5,Non-elitist,500,141.91781121465
1,1,5,PSO,500,141.9178231444
1,1,5,BFGS,550,141.91781148674997
1,1,5,DE,550,141.91781391195
1,1,5,Elitist,550,141.91781107044997
1,1,5,MLSL,550,141.91781615395
1,1,5,Non-elitist,550,141.91781121465
1,1,5,PSO,550,141.9178198789
1,1,5,BFGS,600,141.91781120564997
1,1,5,DE,600,141.91781147204998
1,1,5,Elitist,600,141.91781120764998
1,1,5,MLSL,600,141.91781170764995
1,1,5,Non-elitist,600,141.91781121465
1,1,5,PSO,600,141.91781201049997
1,1,5,BFGS,650,141.91781121174998
1,1,5,DE,650,141.91781127654997
1,1,5,Elitist,650,141.91781121334998
1,1,5,MLSL,650,141.91781132614997
1,1,5,Non-elitist,650,141.91781121465
1,1,5,PSO,650,141.91781136549997
1,1,5,BFGS,700,141.91781121514998
