fid,iid,rep,eval,raw_y
1,6.0,2.0,729,3e-10
1,6.0,2.0,783,1e-10
1,6.0,2.0,790,1e-10
1,6.0,2.0,793,1e-10
1,6.0,2.0,818,0.0
1,6.0,2.0,828,0.0
1,6.0,2.0,863,0.0
1,6.0,2.0,865,0.0
1,6.0,2.0,886,0.0
1,6.0,2.0,888,0.0
1,6.0,2.0,933,0.0
1,6.0,2.0,936,0.0
1,6.0,2.0,944,0.0
1,6.0,2.0,962,0.0
1,6.0,2.0,966,0.0
1,6.0,2.0,974,0.0
1,6.0,2.0,979,0.0
1,6.0,2.0,990,0.0
1,6.0,2.0,1000,0.0
1,6.0,3.0,1,83.8642788067
1,6.0,3.0,2,22.7675298825
1,6.0,3.0,8,19.1991222095
1,6.0,3.0,15,13.5637394655
1,6.0,3.0,17,6.7834797069
1,6.0,3.0,26,3.3690002752
1,6.0,3.0,35,2.9399252383
1,6.0,3.0,41,2.3338194707
1,6.0,3.0,63,2.3263932997
1,6.0,3.0,78,1.1598984917
1,6.0,3.0,84,0.8151926422
1,6.0,3.0,90,0.4301888549
1,6.0,3.0,103,0.4068409226
1,6.0,3.0,109,0.3568398819
1,6.0,3.0,115,0.3175237507
1,6.0,3.0,122,0.1414832517
1,6.0,3.0,142,0.0883073441
1,6.0,3.0,144,0.0679608402
1,6.0,3.0,148,0.0207764241
1,6.0,3.0,190,0.0149293257
1,6.0,3.0,205,0.0069063305
1,6.0,3.0,211,0.004081973
1,6.0,3.0,228,0.0040113293
1,6.0,3.0,237,0.0031735976
1,6.0,3.0,246,0.0018814533
1,6.0,3.0,264,0.0009239783
1,6.0,3.0,273,0.0008810111
1,6.0,3.0,274,0.0007530863
1,6.0,3.0,280,0.0007147163
1,6.0,3.0,281,0.0006335434
1,6.0,3.0,283,0.0002736838
1,6.0,3.0,289,0.000263069
1,6.0,3.0,305,0.0001195244
1,6.0,3.0,330,6.95609e-05
1,6.0,3.0,343,4.49243e-05
1,6.0,3.0,355,4.03278e-05
1,6.0,3.0,393,2.75249e-05
1,6.0,3.0,406,1.99938e-05
1,6.0,3.0,419,1.9176e-05
1,6.0,3.0,424,6.5625e-06
1,6.0,3.0,428,4.6856e-06
1,6.0,3.0,432,2.6613e-06
1,6.0,3.0,452,1.696e-06
1,6.0,3.0,455,7.72e-07
1,6.0,3.0,463,6.26e-07
1,6.0,3.0,477,4.473e-07
1,6.0,3.0,503,3.192e-07
1,6.0,3.0,518,2.657e-07
1,6.0,3.0,521,2.545e-07
1,6.0,3.0,525,1.342e-07
1,6.0,3.0,548,9.29e-08
1,6.0,3.0,549,6.55e-08
1,6.0,3.0,554,3.63e-08
1,6.0,3.0,574,1.11e-08
1,6.0,3.0,617,6.3e-09
1,6.0,3.0,620,6.3e-09
1,6.0,3.0,629,2.5e-09
1,6.0,3.0,643,2.3e-09
1,6.0,3.0,644,2.3e-09
1,6.0,3.0,675,1e-10
1,6.0,3.0,761,1e-10
1,6.0,3.0,786,1e-10
1,6.0,3.0,787,0.0
1,6.0,3.0,805,0.0
1,6.0,3.0,814,0.0
1,6.0,3.0,820,0.0
1,6.0,3.0,825,0.0
1,6.0,3.0,834,0.0
1,6.0,3.0,840,0.0
1,6.0,3.0,866,0.0
1,6.0,3.0,881,0.0
1,6.0,3.0,931,0.0
1,6.0,3.0,942,0.0
1,6.0,3.0,951,0.0
1,6.0,3.0,960,0.0
1,6.0,3.0,975,0.0
1,6.0,3.0,978,0.0
1,6.0,3.0,1000,0.0
1,6.0,4.0,1,27.6724780541
1,6.0,4.0,9,24.1822638688
1,6.0,4.0,14,19.7093895839
1,6.0,4.0,18,12.2827557483
1,6.0,4.0,29,3.6704583672
1,6.0,4.0,43,2.1931375048
1,6.0,4.0,52,1.8842031452
